,query,target_query,generated_query
38,the movies directed by the director of [Flipped] starred who,Virginia Madsen|Tom Cruise|Jason Alexander|Martin Sheen|Bruce Willis|Jack Nicholson|Michael Douglas|Mark Ruffalo|Jennifer Aniston|John Cusack|Kathy Bates|Richard Farnsworth|Michael J. Fox|Meg Ryan|Sterling Jerins|Kevin Bacon|Morgan Freeman|Michelle Pfeiffer|Billy Crystal|Frances Sternhagen|Daphne Zuniga|Kevin Costner|Annette Bening|Shirley MacLaine|Diane Keaton|Whoopi Goldberg|James Woods|James Caan|Alec Baldwin|Demi Moore|Elijah Wood,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE m.name = ""Flipped""
RETURN a.name"
39,the films written by the writer of [My Soul to Take] starred who,Ray Wise|Mitch Pileggi|Kyle Gallner|Roxanne Hart|Everett McGill|Cliff De Young|Maren Jensen|Wendy Robie|Sharon Stone|John Saxon|Ronee Blakley|Louis Jourdan|Peter Berg|Kristen Bell|Heather Langenkamp|Ian Somerhalder|Amanda Wyss|Katie Cassidy|Adrienne Barbeau|Matthew Lawrence|Christina Milian|Michael Murphy|Garret Dillahunt|Jackie Earle Haley|Rooney Mara|Joseph Lawrence,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor) 
WHERE m.name = 'My Soul to Take' 
RETURN a.name"
40,who runs films that share actors with the film [The Autobiography of Miss Jane Pittman],Leo Penn|Martin Ritt|Peter Masterson,"MATCH (m:Movie {name: ""The Autobiography of Miss Jane Pittman""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN DISTINCT d.name"
41,"The films that share the directors with the film [Reuben, Reuben] were in what genres ",Comedy|Adventure,"MATCH (m:Movie {name: 'Reuben, Reuben'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
42,which genres are the films played by [The Sand Pebbles] actors,Mystery|Biography|Horror|Crime|Drama|Fantasy|Western|Action|Comedy|War|Thriller|Adventure,"MATCH (m:Movie {name: 'The Sand Pebbles'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
43,the films that share actors with the [Extreme Justice] film were released in what years ,1991|1990|1985|1982|1983|1987|1999|1998|1996|1988|1970|2003|2000|2001|2007|2005|1989|1994,"MATCH (m:Movie {name: 'Extreme Justice'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
44,which types are the films led by the director of [Poor Little Rich Girl],Drama|Comedy|Music|Western|Musical,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director) 
WHERE m.name = 'Poor Little Rich Girl' 
WITH d 
MATCH (d)<-[:DIRECTED_BY]-(m:Movie)-[:HAS_GENRE]->(g:Genre) 
RETURN DISTINCT g.name"
45,which person led the films made by the actors in [Invasion of the Bee Girls],Val Guest|Jack Hill|Buddy Van Horn,"MATCH (m:Movie {name: 'Invasion of the Bee Girls'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
46,which person led the films played by the actors in [R.I.P.D.],Terry Gilliam|Phillip Noyce|Ash Brannon|Paul Michael Glaser|George Sluizer|Rod Lurie|Jules Bass|Ethan Coen|James Wan|John Huston|Henry Hathaway|Barbra Streisand|Hal Ashby|David Soren|Ryan Fleck|Eric Steven Stahl|Alan J. Pakula|Frank Perry|Marjane Satrapi|Michael Traeger|Paul Verhoeven|Iain Softley|Lamont Johnson|Walter Hill|Peter Weir|James Gunn|Ron Underwood|John August|Marc Rocco|John Guillermin|Chris Buck|Robert Benton|Herbert Ross|David Dobkin|William Richert|Howard Zieff|Christopher Guest|Luis Mandoki|Jon Favreau|Ernest B. Schoedsack|Ron Howard|Anna Boden|Larry Charles|Scott Cooper|Eric Lartigau|Daniel Espinosa|Sidney Lumet|Anne Fletcher|Jessica Bendinger|John McNaughton|Peter Jackson|John Hughes|Joel Schumacher|Mark Pellington|Joel Coen|Rob McKittrick|Rodrigo Cortés|Jieho Lee|Adam Brooks|Atom Egoyan|Peter Bogdanovich|Roger Kumble|Rob Reiner|Thomas Michael Donnelly|Michael Cimino|Nicole Kassell|Merian C. Cooper|Walt Becker|Stephen Hopkins|Damian Harris|Grant Heslov|William Phillips|Ronny Yu|Steve Kloves|Dennis Lee|Craig Brewer|Billy Bob Thornton|Marcos Siega|Martin Bell|George LaVoo|John Carpenter|Ivan Passer|Noah Stern|Joe Carnahan|Martin Campbell|Dexter Fletcher|Steve Rash|Robert Mulligan|Chris Sanders|Taylor Hackford|Clint Eastwood|David Koepp|Albert Brooks|Bob Rafelson,"MATCH (m:Movie{name:'R.I.P.D.'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(movies:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
47,who are the directors that the actors in their films also appear in the film [The Groove Tube],Jay Sandrich|Peter Hewitt|Michael Ritchie|John Landis|William Friedkin|Stephen Herek|Ken Shapiro|Harold Ramis|George Roy Hill|Stephen Kessler|John Carpenter|Colin Higgins,"MATCH (m:Movie {name: ""The Groove Tube""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN DISTINCT d.name"
48,who has written films that share filmmakers with the film [Oxygen],Richard Shepard|Tamar Brott,"MATCH (m:Movie {name: 'Oxygen'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name"
49,Which genres make films that share directors with [Small Change],Drama|Short|War|Comedy,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
WHERE m.name = ""Small Change""
RETURN DISTINCT g.name"
50,Who directed the films made by the actors in [Moscow on the Hudson],Peter Kassovitz|Arie Posin|Omar Naim|Steven Spielberg|Peter Weir|Joe Johnston|Mike Nichols|Roger Spottiswoode|Michael Ritchie|Barry Levinson|David Duchovny|Francis Ford Coppola|Roger Christian|Gus Van Sant|Dirk Shafer|Fielder Cook|Barry Sonnenfeld|Walt Becker|George Roy Hill|Bobcat Goldthwait|Bill Forsyth|Mark Mylod|Ron Clements|Les Mayfield|Robert Altman|Tom Shadyac|Phil Alden Robinson|Danny DeVito|Vincent Ward|Harold Ramis|Ivan Reitman|Michael Dinner|Ken Kwapis|Mark Romanek|Roger Donaldson|John Musker|Penny Marshall|Chris Columbus,"MATCH (m:Movie {name: ""Moscow on the Hudson""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
51,The films that share the actors with the film [Biutiful] are directed by whom,Ridley Scott|Sam Mendes|Alejandro Amenábar|Gerardo Vera|Ethan Coen|Terrence Malick|Manuel Gómez Pereira|Fernando León de Aranoa|Pierre Morel|Pedro Almodóvar|Mike Newell|John Malkovich,"MATCH (m:Movie {name: ""Biutiful""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie), (m2)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
52,which genres make films that share directors with [Vampyros Lesbos] fall under,Horror,"MATCH (m:Movie {name: 'Vampyros Lesbos'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
53,who is listed as director of the movies starred by [Scarlet Street] actors,Edward F. Cline|Jack Arnold|Jerry Paris|Billy Wilder|Lewis Allen|Cecil B. DeMille|Rowland V. Lee|George Cukor|William A. Wellman|Arnold Laven|Michael Curtiz|Luchino Visconti|Vincente Minnelli|Mark Robson|John Huston|Orson Welles|Neil Jordan|Douglas Sirk|Stuart Heisler|John Ford|Frank Capra|Henry Hathaway|Gillian Armstrong|Steve Sekely|Gary Sherman|Max Ophüls|Roy Rowland|Mervyn LeRoy|Howard Hawks|Phil Karlson|Jean Renoir|William Dieterle|Randall Wallace|John Farrow|Joseph L. Mankiewicz|Jack Cardiff|Anatole Litvak|Fritz Lang|Lloyd Bacon|Alfred E. Green|James Whale|Rudolph Maté,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director) 
WHERE m.name = ""Scarlet Street"" 
RETURN DISTINCT d.name"
54,which languages are spoken in films whose actors are also appearing in [Nobody Walks],Russian,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(mw:Movie {name: ""Nobody Walks""}),
(m:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN DISTINCT l.name"
55,who are the screenwriters that the directors of their movies also directed [A Goofy Movie],Jessica Postigo|Tab Murphy|Noni White|Reinhard Klooss|Edgar Rice Burroughs|Bill Kelly|Bob Tzudiker,"MATCH (m:Movie{name:'A Goofy Movie'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name"
56,who starred in the films whose screenwriters also wrote [Jennifer 8],Anne Heche|Sam Waterston|Vince Vaughn|Richard E. Grant|Rachel Ward|Julian Sands|Joaquin Phoenix|Johnny Depp|Haing S. Ngor|John Malkovich,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(j:Movie {name: 'Jennifer 8'}), (m)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
57,the films that share screenwriters with [Repast] were released in which years,1955|1954,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
WHERE m.name = 'Repast'
RETURN DISTINCT y.name"
58,who are the screenwriters that the actors in their movies also appear in the movie [Medium Cool],Dan Cohen|David Mamet|Daniel Chuba|John Sayles|William Malone|Abe Polsky|Corey Allen|Quentin Tarantino|Alan Sharp|David C. Wilson|Elmore Leonard,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie {name: 'Medium Cool'}), (m)-[:WRITTEN_BY]->(w:Writer)
RETURN DISTINCT w.name"
59,Which languages are the films who share directors with [Breakdown] in,German,"MATCH (m:Movie {name: 'Breakdown'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN DISTINCT l.name"
60,The films that share the directors with the [Exodus] films are written by whom,Lewis Meltzer|Victor Trivas|F. Hugh Herbert|Henry Morton Robinson|Kathleen Winsor|Louis Lantz|Françoise Sagan|Robert E. Kent|Thomas C. Ryan|John D. Voelker|Arthur Laurents|DuBose Heyward|Robert Dozier|David Hertz|Frank P. Rosenberg|Elizabeth Janeway|Samson Raphaelson|Ben Hecht|Tom Stoppard|Lois Gould|Nelson Algren|George Bernard Shaw|William L. Stuart|Horton Foote|Guy Endore|Dorothy Heyward|Frank Fenton|Oscar Hammerstein II|Graham Greene|Andrew Solt|Bert Gilden|Jay Dratler|Vera Caspary|Wendell Mayes|Elaine May|N. Richard Nash|Walter Newman|Samuel Hoffenstein|Philip Dunne|James Bassett|Doran William Cannon|Jerome Cady|Harry Kleiner,"MATCH (m:Movie {name: 'Exodus'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name"
61,the films directed by the director of [Bright Star] starred who,Jon Darling|Holly Hunter|Karen Colston|Tom Lycos|Meg Ryan|Harvey Keitel|Barbara Hershey|Nicole Kidman|Sam Neill|Anna Paquin|Jennifer Jason Leigh|John Malkovich,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor) 
WHERE m.name = 'Bright Star' 
RETURN a.name"
