,query,target_query,generated_query
21,who are the directors of the films written by the writer of [C.O.G.],"MATCH (m:Movie {name: ""C.O.G.""})-[:WRITTEN_BY]->(w:Writer)-[:WRITTEN_BY]<-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name",{'Kyle Patrick Alvarez'}
22,when the films were written by writers from [Aks],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer) 
WHERE w.name = 'Aks' 
RETURN m.name, (m)-[:RELEASE_YEAR]->(y:Year) AS Year","{'2009', '2006'}"
23,actors in the films written by the writer of [Babylon A.D.],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Babylon A.D.""})-[:WRITTEN_BY]<-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name",{'Mathieu Kassovitz'}
24,when the films were written by [Clerks] writers,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Clerks""})-[:WRITTEN_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year) RETURN m2.name, y.name","{'2014', '1995', '1997', '2004', '2011', '2008', '2001', '2006', '1999'}"
25,which were the release dates of the films led by the director of [South of the Border],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""South of the Border""})-[:DIRECTED_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name","{'1974', '1972', '1988', '2006', '2012', '1995', '1997', '1981', '1991', '1999', '1989', '2003', '2004', '1986', '2008', '1994', '1987'}"
26,who has written films that share filmmakers with the film [Sherman's March],"```
MATCH (m:Movie {name: ""Sherman's March""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN DISTINCT w.name
```",{'Ross McElwee'}
27,who is listed as screenwriter of the movies starred by [Romancing the Stone] actors,"```
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:WRITTEN_BY]->(w:Writer)
WHERE m.name = 'Romancing the Stone'
RETURN DISTINCT w.name
```","{'Stewart Raffill', 'Richard Condon', 'Dr. Seuss', 'Christopher Trumbo', 'Donald E. Westlake', 'Michael Lessac', 'John Waters', 'Anne Tyler', 'John Leekley', 'Mike Cahill', 'Larry McMurtry', 'Dan McCall', 'Anthony Peckham', 'Warren Adler', 'William Goldman', 'Ian Abrams', 'Larry Karaszewski', 'Frederick Knott', 'George Gipe', 'Roald Dahl', 'Jake Paltrow', 'Steve Martin', 'Frank Galati', 'David Mamet', 'Arlene Sarner', 'Gerald Petievich', 'Ebbe Roe Smith', 'Steve Kloves', 'Carl Reiner', 'Lawrence Kasdan', 'Jeffrey Konvitz', 'Brian Koppelman', 'Steven Hilliard Stern', 'Michael Winner', 'Jeffrey Eugenides', 'James L. Brooks', 'Andrew Klavan', 'Robin Swicord', 'Daniel Waters', 'Barry Levinson', 'Janet Roach', 'Alvin Sargent', 'Scott Moore', 'Susan Isaacs', 'Evan Rhodes', 'Patrick Smith Kelly', 'Peter Hyams', 'Joe Eszterhas', 'Elmore Leonard', 'John Grisham', 'Dale Launer', 'Sofia Coppola', 'James Dearden', 'Douglas Morrow', 'Jeremy Joe Kronsberg', 'Steven Zaillian', 'Mike Gray', 'Robin Cook', 'Jon Lucas', 'Nicholas Kazan', 'Stan Seidel', 'Bob Clark', 'Michael Crichton', 'Jean Shepherd', 'Scott Alexander', 'Andrew Bergman', 'Michael Chabon', ""Dean O'Flaherty"", 'James Bridges', 'David Seltzer', 'Francis Ford Coppola', 'Mark Andrus', 'Richard LaGravenese', 'N. Richard Nash', 'Jerry Sterner', 'Roderick Taylor', 'Jerry Leichtling', 'Aaron Sorkin', 'Paul Wheeler'}"
28,when did the films starred by [Powder Room] actors release,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Powder Room""})-[:STARRED_ACTORS]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN m2.name, y.name",{'2010'}
29,"What were the dates of the films taken by the director of [Olivier, Olivier]","MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Olivier, Olivier""})-[:DIRECTED_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name","{'1988', '1949', '1995', '1997', '2011', '1993', '1990', '2006', '1999'}"
30,What were the release dates of the films directed by the director of [Delitto a Porta Romana],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Delitto a Porta Romana""})-[:DIRECTED_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year) 
RETURN m2.name as Movie, y.name as ReleaseYear","{'1976', '1981', '1983'}"
31,where the films led by the director of the [The Whip Hand] release,"""MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director) WHERE d.name = 'The Whip Hand' RETURN m.name""","{'2010', '1986', '1936', '1953', '1940'}"
32,the films that share the films with the film [Lamerica] were in which languages,"MATCH (m:Movie)-[:IN_LANGUAGE]->(l:Language)
WHERE m.name IN (
  SELECT m2.name
  FROM (
    MATCH (m1:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)
    WHERE m1.name = 'Lamerica'
  ) AS m2
)
RETURN DISTINCT l.name",{'Italian'}
33,who has written the films led by the director of [Sisters],"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Sisters'})-[:WRITTEN_BY]->(w:Writer)
RETURN w.name
```","{'Graham Yost', 'Alain Corneau', 'Eliot Ness', 'Theodore Dreiser', 'David Mamet', 'David Rabe', 'John Farris', 'Jordan Crittenden', 'John Thomas', 'David Koepp', 'Wilford Leach', 'Oliver Stone', 'Stephen King', 'Michael Cristofer', 'Paul Schrader', 'Brian De Palma', 'Jim Thomas', 'Tom Wolfe', 'Edwin Torres', 'James Ellroy', 'Lawrence D. Cohen', 'Daniel Lang', 'Armitage Trail'}"
34,who has written movies that share directors with the film [Flamingo Road],"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:WRITTEN_BY]->(w:Writer)
WHERE m.name = ""Flamingo Road""
RETURN DISTINCT w.name
```","{'Edmund Joseph', 'Dorothy Baker', 'Lenore J. Coffee', 'Donald Henderson Clarke', 'Carl Erickson', 'Seton I. Miller', 'Albert Husson', 'Charles Hoffman', 'Laird Doyle', 'Alfred Lord Tennyson', 'Lillie Hayward', 'Joseph E. Davies', 'Jack London', 'Ranald MacDougall', 'Roy Chanslor', 'Paul Green', 'Preston A. Whitmore II', 'Philip Dunne', 'Mika Waltari', 'Michael Jacoby', 'Arthur T. Horman', 'Harry Harrison Kroll', 'Michael A. Musmanno', 'Harold Robbins', 'Jack Moffitt', 'Fannie Hurst', 'Richard Macaulay', 'Darryl F. Zanuck', 'Mark Twain', 'Abem Finkel', 'Rowland Leigh', 'Paul Wellman', 'Casey Robinson', 'Howard Koch', 'Harry R. Irving', 'Julius J. Epstein', 'Joan Alison', 'Murray Burnett', 'Jan de Hartog', 'Ernest Hemingway', 'Leo Townsend', 'Edmund H. North', 'Claude Binyon', 'Maxwell Anderson', 'Charlotte Armstrong', 'James M. Cain', 'Robert Buckner', 'James Norman Hall', 'Carl Foreman', 'Tinto Brass', 'John Wexley', 'Charles Nordhoff', 'Norman Reilly Raine', 'Robert Rossen', 'Allen C. Miller', 'Rafael Sabatini', 'William Bowers', 'Warren Duff', 'Rowland Brown', 'Philip G. Epstein', 'Lewis E. Lawes', 'Roland Gillett'}"
35,What are the main languages in the films led by the [Night and Day] director,"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Night and Day""})-[:IN_LANGUAGE]->(l:Language)
RETURN l.name AS Language
```","{'Italian', 'French', 'English'}"
36,which is registered as a director of the films led by the [Humpday] director ,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Humpday'})-[:DIRECTED_BY]<-(m2:Movie)
RETURN distinct d.name as Director","{'Andrea Seigel', 'Lynn Shelton'}"
37,which wrote the films directed by the director of [Sleepy Hollow],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Sleepy Hollow""})-[:DIRECTED_BY]<-(m1:Movie)<-[:WRITTEN_BY]-(w:Writer)
RETURN w.name","{'Daniel Waters', 'Pierre Boulle', 'Linda Woolverton', 'John August', 'Lewis Carroll', 'Scott Alexander', 'Daniel Wallace', 'Caroline Thompson', 'Mark Rosenthal', 'Jonathan Gems', 'Joseph L. Mankiewicz', 'Michael Varhol', 'Leonard Ripps', 'Larry Wilson', 'Rod Serling', 'Sam Hamm', 'Rudolph Grey', 'Lawrence Konner', 'Michael McDowell', 'Bob Kane', 'Michael Wilson', 'Phil Hartman', 'Larry Karaszewski', 'Paul Reubens', 'Warren Skaaren', 'Roald Dahl', 'Tim Burton'}"
38,what were the release dates of the films led by the director of [Cyclo],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Cyclo""})-[:DIRECTED_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN m2.name, y.name","{'2010', '1993'}"
39,when did the films starred by [Billy Jack Goes to Washington] actors release,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Billy Jack Goes to Washington""})-[:STARRED_ACTORS]<(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN m2.name, y.name","{'1967', '1971', '1974'}"
40,which genres are the films played by actors [The Fourth Kind],"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'The Fourth Kind'}), (m)-[:HAS_GENRE]->(g:Genre) RETURN g.name""","{'Thriller', 'Sport', 'Crime', 'Adventure', 'Action', 'Comedy', 'Drama', 'Romance'}"
41,which genres are directed by film director [May Fools],"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""May Fools""}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name
```","{'Crime', 'Horror', 'Adventure', 'Comedy', 'Drama', 'War', 'Mystery'}"
42,who acted in the films written by the screenwriter of [M. Butterfly],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:'M. Butterfly'})-[:WRITTEN_BY]<-(m2:Movie)<-[:STARRED_ACTORS]-(a:Actor)
RETURN a.name","{'Joan Chen', 'Bruno Kirby', 'Matt Dillon'}"
43,who is listed as screenwriter of the movies starred by [Boots and Saddles] actors,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Boots and Saddles""})-[:STARRED_ACTORS]<-(mo:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name","{'Lawrence Kimble', 'Richard Murphy', 'Oliver Drake', 'Jesse Lasky Jr.', 'Gerald Geraghty'}"
44,when made the circulation of the films whose writers also wrote [The Merchant of Venice],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)
WHERE w.name IN (
  SELECT w2.name
  FROM (m2:Movie {name: 'The Merchant of Venice'})-[:WRITTEN_BY]->(w2:Writer)
)
MATCH (m)-[:RELEASE_YEAR]->(y:Year)
RETURN m.name, y.name","{'1984', '2000', '1998', '1987'}"
45,who are the directors that the actors in their films also appear in the film [Wish Upon a Star],"```
MATCH (m:Movie {name: 'Wish Upon a Star'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN DISTINCT d.name
```","{'Justin Zackham', 'Greg Berlanti', 'Adam Green', 'Ronny Yu', 'Barry W. Blaustein', 'BJ McDonnell', 'Julie Anne Robinson', 'Judd Apatow', 'Anthony Hickox', 'Timo Tjahjanto', 'Peter Lepeniotis', 'Jim Hemphill', 'Gabriel Bologna', 'Michael Landon Jr.'}"
46,What genres do the films that share directors with [The Late Show] fall under the coup,"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
WHERE m.name = ""The Late Show""
RETURN DISTINCT g.name
```","{'Thriller', 'Action', 'Comedy', 'Western', 'Drama', 'Romance'}"
47,which were the release dates of the films led by the director of [Make Way for Tomorrow],"```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Make Way for Tomorrow""})-[:DIRECTED_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name AS Release_Date
```","{'1957', '1969', '1937', '1952', '1945', '1962', '1942', '1933', '1994', '1958', '1936', '1934', '1944', '1935', '1939'}"
48,What were the years of release of films that share directors with the film [The Trail of the Lonesome Pine],"```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
WHERE m.name = ""The Trail of the Lonesome Pine""
RETURN y.name
```","{'1947', '1968', '1953', '1957', '1944', '1935', '1971', '1949', '1956', '1945', '1965', '1941', '1939', '1951', '1966', '1969', '1962', '1940', '1946', '1995', '2010', '1948', '1960', '1934'}"
49,when did the films release whose screenwriters also wrote [The Man Who Laughs],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer) 
WHERE w.name IN [
  MATCH (m2:Movie {name: ""The Man Who Laughs""})-[:WRITTEN_BY]->(w2:Writer) 
  RETURN w2.name
]
MATCH (m)-[:RELEASE_YEAR]->(y:Year)
RETURN m.name, y.name","{'1998', '1956', '2012', '1995', '1996', '1997', '1958', '1934', '1935', '1939'}"
50,what were the release dates of films written by the screenwriter of [Do the Right Thing],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Do the Right Thing""})-[:WRITTEN_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name","{'1998', '1988', '2012', '1995', '1992', '2000', '1986', '1991', '2004', '1990', '1994', '1999'}"
51,Which languages are spoken in films whose directors have also directed [Confessions of a Dangerous Mind],"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)
WHERE m.name = ""Confessions of a Dangerous Mind""
WITH d
MATCH (d)<-[:DIRECTED_BY]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN DISTINCT l.name
```",{'German'}
52,What genres are the films played by [The Girl Can't Help It] actors,"MATCH (m:Movie {name: ""The Girl Can't Help It""})-[:STARRED_ACTORS]->(a:Actor)-[:STARRED_ACTORS]<-(otherMovies:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name","{'Thriller', 'Crime', 'Adventure', 'Comedy', 'Drama', 'Short'}"
53,when the films were broadcast whose directors have also directed [Blind Fury],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director) 
WHERE (d)-[:DIRECTED_BY]->(:Movie {name: 'Blind Fury'}) 
RETURN m.name, (m)-[:RELEASE_YEAR]->(:Year).name","{'1978', '2013', '2006', '2002', '2014', '1992', '2010', '1997', '1958', '1993', '1989', '1994', '1999'}"
54,when did the films release whose screenwriters also wrote [Killers],"```cypher
MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)
WHERE w.name = ""Killers""
MATCH (m:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name
```",{'2013'}
