,query,target_query,generated_query
10,Director of [JFK] also directed the films,U Turn|Savages|Wall Street|Natural Born Killers|Platoon|Salvador|The Doors|Comandante|W.|The Hand|Born on the Fourth of July|World Trade Center|South of the Border|Seizure|Any Given Sunday|Talk Radio|Nixon|Alexander,"MATCH (m:Movie {name: 'JFK'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(otherMovies:Movie)
RETURN otherMovies.name"
11,[Dorothy Malone] &apos;s films were led by whom,Rob Cohen|Andrew L. Stone|Joseph Pevney|Raoul Walsh|Robert Aldrich|John Ireland|Douglas Sirk|Charles Marquis Warren,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Dorothy Malone'}), (m)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
12,what were the release years the films starred by [Jean Rochefort],1990|1972,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Jean Rochefort'}), (m)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
13,which genres are the films written by [Gene Wilder] in,Comedy|Musical,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: 'Gene Wilder'}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
14,who are the actors in the films written by [Daniel Barnz],Alex Pettyfer|Holly Hunter|Maggie Gyllenhaal|Viola Davis,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name:""Daniel Barnz""}), (m)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
15,who is listed as director of [Dave Annable] starred movies,Rob Hedden,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Dave Annable'}), (m)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
16,the films led by [Deon Taylor] were in which genres,Horror,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Deon Taylor""}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
17,the director [Gerd Oswald] co-directed films with who,James Dearden,"MATCH (d:Director {name: ""Gerd Oswald""})-[:DIRECTED_BY]-(m:Movie)-[:DIRECTED_BY]-(coDirector:Director)
WHERE d <> coDirector
RETURN coDirector.name"
18,acted in concert with [Breckin Meyer],Peter Facinelli|Eddie Griffin|Vinnie Jones|Bill Murray|Eddie Mills|Ethan Embry|Jennifer Love Hewitt|Anna Paquin,"MATCH (a:Actor {name: 'Breckin Meyer'})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(coActor:Actor)
RETURN coActor.name"
19,When were the films directed by [Peter Lord] released,2000,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Peter Lord'}), (m)-[:RELEASE_YEAR]->(y:Year) RETURN y.name"
20,which languages are the [Francesco Rosi] films in,German|Spanish|French|Italian,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Francesco Rosi""}), (m)-[:IN_LANGUAGE]->(l:Language)
RETURN l.name"
21,[Tony Bancroft] &apos;s films have been written by whom,Raymond Singer|Robert D. San Souci|Philip LaZebnik|Chris Sanders|Rita Hsiao,MATCH (d:Director {name: 'Tony Bancroft'})<-[:DIRECTED_BY]-(m:Movie)-[:WRITTEN_BY]->(w:Writer) RETURN w.name
22,[Adam Lundgren] &apos;s films have been written by whom,Cilla Jackert,"MATCH (a:Actor {name: 'Adam Lundgren'})<-[:STARRED_ACTORS]-(m:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name"
23,the actor [Christopher Eccleston] appeared in the same film with whom,Geoffrey Rush|Ewan McGregor|Cameron Diaz|Jordana Brewster|Cate Blanchett|Hilary Swank|Joseph Fiennes|Richard Gere|Kerry Fox|Tom Courtenay,"MATCH (a:Actor {name: ""Christopher Eccleston""})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(coActors:Actor)
WHERE NOT coActors.name = ""Christopher Eccleston""
RETURN coActors.name"
24,The Director of [Maps to the Stars] is also the director of which movies,Stereo|A History of Violence|Crash|Naked Lunch|A Dangerous Method|Cosmopolis|Spider|Scanners|Crimes of the Future|The Dead Zone|Rabid|Videodrome|Dead Ringers|M. Butterfly|Eastern Promises|The Brood|The Fly,"MATCH (m:Movie {name: ""Maps to the Stars""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(otherMovies:Movie)
RETURN otherMovies.name"
25,who is listed as screenwriter of [Giorgia Moll] acted films,Joseph L. Mankiewicz|Graham Greene,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Giorgia Moll""}), (m)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name"
26,Director of [The Lord of the Rings] is also the director of which movies,Fire and Ice|Coonskin|Wizards|Cool World|Fritz the Cat|American Pop,"MATCH (m:Movie {name: ""The Lord of the Rings""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(otherMovies:Movie)
RETURN otherMovies.name"
27,acted in concert with [Dick Haymes],Dana Andrews|Vivian Blaine|Jeanne Crain|Janet Gaynor|Will Rogers|Lew Ayres,"MATCH (a:Actor {name: 'Dick Haymes'})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(coActor:Actor)
RETURN coActor.name"
28,who co-wrote films with [Louise Lasser],Mickey Rose|Woody Allen,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:'Louise Lasser'}), (m)-[:WRITTEN_BY]->(co:Writer)
WHERE w.name <> co.name
RETURN co.name"
29,what are the movies that have the same screenwriter of [Scarecrows],Route 666,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie) WHERE m.name = ""Scarecrows"" RETURN m2.name"
30,which person directed the movies starred by [Brandon Quinn],Ingmar Bergman,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Brandon Quinn""}), (m:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
31,the scriptwriter of [Shuttle] also wrote which films,Flawless|Thieves Like Us|They Live by Night,"MATCH (m:Movie {name: ""Shuttle""})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(otherMovies:Movie)
RETURN otherMovies.name"
32,which genres are directed by [Malcolm Venville] in,Drama|Comedy|Crime,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Malcolm Venville'}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
33,the scriptwriter of [Alila] also wrote movies,Kadosh|Kippur|Kedma|Free Zone,"MATCH (m:Movie {name: ""Alila""})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(otherMovies:Movie)
RETURN otherMovies.name"
34,who directed the films staged by [Jim Caviezel],Simon Brand|Roger Christian|Luis Mandoki|Mikael Håfström|Robert Harmon|Omar Naim|Terrence Malick|Kevin Reynolds|Rowland V. Lee|Gregory Hoblit|Robert Vernay|Mel Gibson,"MATCH (a:Actor {name: 'Jim Caviezel'})<-[:STARRED_ACTORS]-(m:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
35,who co-wrote films with [Patrick Hasburgh],Michael Bacall|Stephen J. Cannell|Jonah Hill,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:""Patrick Hasburgh""}), (m)-[:WRITTEN_BY]->(co:Writer)
WHERE w.name <> co.name
RETURN DISTINCT co.name"
36,which are the actors in the films written by [Katrin Benedikt],Jason Statham|Harrison Ford|Sylvester Stallone|Arnold Schwarzenegger,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Katrin Benedikt""}), (m)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
37,the [Claudia Gerini] actor appeared in the same film with whom,Penélope Cruz|Sergio Castellitto,"MATCH (a1:Actor {name: 'Claudia Gerini'})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(a2:Actor)
WHERE a1 <> a2
RETURN a2.name"
38,the actor [Sebastian Shaw] co-starred with who,Conrad Veidt|Valerie Hobson|Marius Goring,"MATCH (a:Actor {name: 'Sebastian Shaw'})<-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]->(coActors:Actor)
WHERE NOT coActors.name = 'Sebastian Shaw'
RETURN coActors.name"
39,who co-wrote films with [Sam Shepard],L.M. Kit Carson|Wim Wenders,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:'Sam Shepard'}), (m)-[:WRITTEN_BY]->(co:Writer)
WHERE w.name <> co.name
RETURN DISTINCT co.name"
40,who co-wrote films with [Allison Burnett],Christopher Gore|Michael Bortman|J.R. Moehringer,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:'Allison Burnett'}), (m)-[:WRITTEN_BY]->(coWriter:Writer)
WHERE w.name <> coWriter.name
RETURN DISTINCT coWriter.name"
41,what were the release years the films starred by [Zohra Lampert],1960|1971,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Zohra Lampert'}), (m)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
42,the actor [Silvia Colloca] acted with whom,Wesley Snipes|Tim Dutton|William Hope,"MATCH (a1:Actor {name: 'Silvia Colloca'})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(a2:Actor)
WHERE a1.name <> a2.name
RETURN a2.name"
43,which movies have the same screenwriter of [The Ambushers],The Silencers|The Big Country|The Violent Men|The Wrecking Crew,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m1:Movie) 
WHERE m.name = ""The Ambushers"" 
RETURN m1.name"
44,the actor [Pamela Flores] acted in concert with whom,Jeremias Herskovits|Brontis Jodorowsky|Alejandro Jodorowsky,"MATCH (a:Actor {name: 'Pamela Flores'})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(coActor:Actor)
WHERE NOT coActor.name = 'Pamela Flores'
RETURN DISTINCT coActor.name"
45,which person has written the films led by [Frank Lloyd],Charles Lederer|Courtney Ryley Cooper|Justin Huntly McCarthy|Preston Sturges|Howard Koch|Sonya Levien|Charles Nordhoff|Seton I. Miller|Reginald Berkeley|James Norman Hall|Rafael Sabatini,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:'Frank Lloyd'}), (m)-[:WRITTEN_BY]->(w:Writer) RETURN w.name"
46,what was the years of the release of [Richard Ayoade] &apos;s films,1928|2011|2010|2013,"MATCH (d:Director {name: 'Richard Ayoade'})<-[:DIRECTED_BY]-(m:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
47,What movies are directed by the same director of [A Woman Rebels],Follow the Fleet|Top Hat|Skylark|So Proudly We Hail!|Holiday Inn|Blue Skies|The Gay Divorcee,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)
WHERE m.name = ""A Woman Rebels""
RETURN m2.name"
48,Which genres are the films directed by [Theodoros Angelopoulos] in,Drama|History,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Theodoros Angelopoulos""}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
49,What type of films written by [Gary Young],Adventure|Thriller|Crime,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: 'Gary Young'}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
50,Films have the same [Mark of the Vampire] director,The Blackbird|Dracula|Where East Is East|The Unknown|Freaks|The Unholy Three|The Devil-Doll|West of Zanzibar,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)
WHERE m.name = ""Mark of the Vampire""
RETURN m2.name"
51,What are the main languages in [Björne Larson] films,Swedish,"MATCH (d:Director {name: ""Björne Larson""})<-[:DIRECTED_BY]-(m:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN l.name as Language"
52,What were the years of release of the films led by [Tarik Saleh],2009,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Tarik Saleh""}), (m)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
53,the [Harold Gould] actor appeared in the same film with whom,James Brolin|Dana Carvey|Jennifer Esposito,"MATCH (a1:Actor {name: ""Harold Gould""})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(a2:Actor)
WHERE a1 <> a2
RETURN a2.name"
54,the films share the same director of [Scorned] ,Leprechaun,MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie) WHERE m.name = 'Scorned' RETURN m2.name
55,which types are the films directed by [Michael Chapman],Drama,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Michael Chapman""})
MATCH (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
56,which screenwriters co-wrote films with [Charles Lederer],Charles MacArthur|John Taintor Foote|Bartlett Cormack|Wendell Mayes|Hanns Kräly|Billy Wilder|Anita Loos|Dorothy Kingsley|Charles Nordhoff|Abe Burrows|I.A.L. Diamond|Eleazar Lipsky|Lew Lipton|James Norman Hall|Ben Hecht,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Charles Lederer""}), (m)-[:WRITTEN_BY]->(coWriter:Writer)
WHERE w.name <> coWriter.name
RETURN DISTINCT coWriter.name"
57,the screenwriter of [Silver City] also wrote which films,Amigo|Eight Men Out|The Challenge|Men with Guns|Go for Sisters|Battle Beyond the Stars|Men of War|Alligator|Lianna|The Howling|Matewan|The Brother from Another Planet|Passion Fish|Honeydripper|The Lady in Red|Breaking In|City of Hope|The Secret of Roan Inish|Sunshine State|Lone Star|Limbo,"MATCH (m:Movie {name: 'Silver City'})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(otherMovies:Movie)
RETURN otherMovies.name"
58,the actor also [The Great Locomotive Chase] in what movies,The Searchers|Hell to Eternity|Sergeant Rutledge|A Kiss Before Dying|Sailor of the King|Old Yeller|The True Story of Jesse James|Brainstorm,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(otherMovies:Movie)
WHERE m.name = ""The Great Locomotive Chase""
RETURN otherMovies.name"
59,These are the films that have the same [Labor Pains] actor ,Just My Luck|Georgia Rule|The Parent Trap|Freaky Friday|The Canyons|Mean Girls|I Know Who Killed Me|Confessions of a Teenage Drama Queen|Take This Waltz,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)
WHERE m.name = ""Labor Pains""
RETURN m2.name"
60,the actor [Gwenaëlle Simon] co-starred with who,Melvil Poupaud|Amanda Langlet,"MATCH (a:Actor {name: ""Gwenaëlle Simon""})<-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]->(coActors:Actor)
RETURN coActors.name"
61,what were the release years of the movies acted by [Tom Waits],1986|2005,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Tom Waits'}), (m)-[:RELEASE_YEAR]->(y:Year) RETURN y.name"
62,The actor [Dolores Dorn] appeared in the same film with whom ,Cliff Robertson|Beatrice Kay,"MATCH (a1:Actor {name: 'Dolores Dorn'})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(a2:Actor)
WHERE a1.name <> a2.name
RETURN a2.name"
63,the films written by [Ole Bornedal] starred which actors,Ewan McGregor|Luis Guzmán|Natasha Gregson Wagner|Tom Berenger|Amanda Donohoe|Patricia Arquette|Dalton James|Josh Brolin|Raymond Cruz|William Forsythe,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: 'Ole Bornedal'}), (m)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
64,[Jerry Orbach] &apos;s films were released in which years,1991|1987|1981|1946|2000|2014|2009,"MATCH (a:Actor {name: 'Jerry Orbach'})<-[:STARRED_ACTORS]-(m:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
65,Which genres are the films written by [Michael Brandt] in,Action|Comedy|Crime,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Michael Brandt""}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
66,What genres do the films put on by [Michael Madsen] fall under,Horror|Crime|Drama|Fantasy|Adventure|Action|Comedy|Thriller,"MATCH (a:Actor {name: ""Michael Madsen""})<-[:STARRED_ACTORS]-(m:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
67,The Director of [The Wedding Date] also directed the films,American Virgin|How to Deal,"MATCH (m:Movie {name: ""The Wedding Date""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(otherMovies:Movie)
RETURN otherMovies.name"
68,the actor [Erika Anderson] is a co-star of who,Nicolas Cage|Judge Reinhold|Joe Pantoliano,"MATCH (a:Actor {name: 'Erika Anderson'})<-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]->(co:Actor)
RETURN co.name"
69,which types are the films played by [Ricardo Montalban],Drama|Music|War,"MATCH (a:Actor {name: 'Ricardo Montalban'})<-[:STARRED_ACTORS]-(m:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
70,who are the directors of the films put on stage by [Lee Strasberg],Martin Brest,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director) 
WHERE EXISTS((m)-[:STARRED_ACTORS]->(:Actor {name: ""Lee Strasberg""}))
RETURN d.name"
71,What genres are the films written by [Cynthia Cidre] in,Drama|Music,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: 'Cynthia Cidre'}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
72,which is registered as the director of [George Oppenheimer] written films,Jack Conway|William K. Howard|Vincent Sherman,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""George Oppenheimer""}), (m)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
73,Who are the actors of director [Daniel Taplitz],Courteney Cox|Anthony LaPaglia|Aidan Quinn,MATCH (d:Director {name: 'Daniel Taplitz'})<-[:DIRECTED_BY]-(m:Movie)-[:STARRED_ACTORS]->(a:Actor) RETURN a.name
74,who co-wrote films with [Howard Hawks],John Monk Saunders,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name: ""Howard Hawks""}), 
(m)-[:WRITTEN_BY]->(coWriter:Writer) 
WHERE w.name <> coWriter.name 
RETURN DISTINCT coWriter.name"
75,which acted in [Olatunde Osunsanmi] &apos;s films,Corey Johnson|Radha Mitchell|Milla Jovovich|Stephen Moyer|Will Patton,"MATCH (d:Director {name: 'Olatunde Osunsanmi'})<-[:DIRECTED_BY]-(m:Movie)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
76,who is listed as screenwriter of [Jonas Ball] acted films,Daniel Myrick|Andrew Piddington,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Jonas Ball'}), (m)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name"
77,who is listed as director of [James Fleet] starred movies,Gillian Armstrong,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""James Fleet""}), (m)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
78,Films have the same director of [Respiro],Terraferma,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)
WHERE m.name = ""Respiro""
RETURN m2.name"
79,which person directed the films staged by [Beatrice Kay],Samuel Fuller,"MATCH (a:Actor {name: 'Beatrice Kay'})<-[:STARRED_ACTORS]-(m:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
80,which were the years of release of the films directed by [Michael Anderson],1986|1968|1977|1976|1966|1960|1961|1989|1955|1956|2007|1965|1959,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Michael Anderson""}), (m)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
81,Which films are directed by the same director of [No Way to Treat a Lady],Number One with a Bullet|Airport 1975|Damnation Alley|The Illustrated Man|Midway,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(otherMovies:Movie) WHERE m.name = ""No Way to Treat a Lady"" RETURN otherMovies.name"
82,that appeared in the same film with [Gustaf Skarsgård],Alexander Skarsgård|Clark Gregg|Henrik Lundström|Andreas Wilson,"MATCH (a:Actor {name: ""Gustaf Skarsgård""})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(coActors:Actor)
RETURN DISTINCT coActors.name"
83,acted in concert with [Dev Gill],Ram Charan|Srihari,"MATCH (a:Actor {name: ""Dev Gill""})<-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]->(coActor:Actor)
RETURN coActor.name"
84,who is listed as screenwriter of [Moon Bloodgood] starred movies,David DiGilio|Nils Gaup,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name:""Moon Bloodgood""}), (m:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name"
85,which appeared in the films written by [Nicholas Mosley],Louis Koo|Richie Jen,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:'Nicholas Mosley'}), (m)-[:STARRED_ACTORS]->(a:Actor) RETURN a.name"
86,What films are directed by the same director of [Monster House],City of Ember,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)
WHERE m.name = 'Monster House'
RETURN m2.name"
87,[Abhishek Jain] &apos;s films were in what languages,Gujarati,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:'Abhishek Jain'}), (m)-[:IN_LANGUAGE]->(l:Language)
RETURN l.name"
88,who are the directors of the films put on stage by [Justin Bartha],Bart Freundlich|Todd Phillips|Jon Turteltaub|Kevin Asch,"MATCH (a:Actor {name: ""Justin Bartha""})<-[:STARRED_ACTORS]-(m:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
89,who are movie co-writers of [Julian Fellowes],Nigel Balchin|Bob Balaban|Robert Altman|Lucy M. Boston,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)
WHERE w.name = 'Julian Fellowes'
MATCH (m)-[:WRITTEN_BY]->(co:Writer)
WHERE w.name <> co.name
RETURN co.name"
90,which directed the films written by [Frank De Felitta],Robert Wise,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Frank De Felitta""}), (m:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
91,Which genres are the films staged by [Carmelo Gómez] in,Drama|Documentary,"MATCH (a:Actor {name: 'Carmelo Gómez'})<-[:STARRED_ACTORS]-(m:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
92,what languages are spoken in the films written by [Rosamond Marshall],English,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:""Rosamond Marshall""}), (m)-[:IN_LANGUAGE]->(l:Language)
RETURN DISTINCT l.name"
93,What are the genres of [Bill Pullman] films,Mystery|Horror|Drama|Animation|Adventure|Comedy|Thriller,"MATCH (a:Actor {name: ""Bill Pullman""})<-[:STARRED_ACTORS]-(m:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
94,the movies directed by [Kat Candler] starred who,Deke Garner|Josh Wiggins|Juliette Lewis|Aaron Paul,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Kat Candler""}), (m)-[:STARRED_ACTORS]->(a:Actor) RETURN a.name"
95,which are the actors of the films written by [Michael Goldbach],Josh Lucas|Kat Dennings|Reece Thompson,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Michael Goldbach""}), (m)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
96,what are the main languages in [George Peppard] starred movies,German|Italian,"MATCH (a:Actor {name: ""George Peppard""})<-[:STARRED_ACTORS]-(m:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN l.name"
97,which languages are the films written by [Jerzy Andrzejewski],Polish,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Jerzy Andrzejewski""}), (m)-[:IN_LANGUAGE]->(l:Language) 
RETURN DISTINCT l.name"
98,the actor [Maho Nonami] is a co-star of who,Eiko Koike,"MATCH (a:Actor {name: 'Maho Nonami'})<-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]->(co:Actor)
RETURN co.name"
99,[Roy Hudd] &apos;s films were released in which years,2000,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Roy Hudd""}), (m)-[:RELEASE_YEAR]->(y:Year) 
RETURN y.name"
100,what are the main languages in [Elissa Landi] starred movies,French,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Elissa Landi""}), (m)-[:IN_LANGUAGE]->(l:Language) 
RETURN l.name"
101,which genres are directed by [Ari Folman] in,Animation|Documentary,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:'Ari Folman'}), (m:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
102,The actor [Alex Rocco] has acted in concert with whom,Katherine Helmond|Len Cariou|Vin Diesel|Lukas Haas,"MATCH (a:Actor {name: ""Alex Rocco""})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(coActors:Actor)
WHERE NOT coActors.name = ""Alex Rocco""
RETURN DISTINCT coActors.name"
