,query,target_query,generated_query
12,which films share with [Much Ado About Nothing],"The provided natural language query is unclear. If you want to find the movies that share the same director, writer, actor, etc. with the movie ""Much Ado About Nothing"", then the query can be written as follows:

```cypher
MATCH (m:Movie)-[r]-()-[r2]-(m2:Movie) 
WHERE m.name = 'Much Ado About Nothing'
RETURN DISTINCT m2.name
``` 

This query will return the names of all movies that share any relationships with the movie ""Much Ado About Nothing"". 

Please provide more specific details about what type of entities (director, writer, actor, genre, etc.) the movies should share for a more precise query.","{'Hamlet', 'Private Romeo', 'King of Texas', 'In Your Eyes', 'The Cabin in the Woods', 'Buffy the Vampire Slayer', 'Henry V', 'Chimes at Midnight', ""Love's Labour's Lost"", 'Romeo and Juliet', 'Tempest', 'Serenity', 'The Avengers', ""Prospero's Books"", 'Othello', 'Julius Caesar', 'Men of Respect', 'Looking for Richard', ""A Midsummer Night's Dream"", 'Romeo + Juliet', 'Haider', 'O', 'The Tempest', 'Toy Story', 'The Magic Flute', 'Coriolanus', 'The Banquet', 'Richard III', 'Macbeth', 'As You Like It', 'The Taming of the Shrew', 'King Lear'}"
13,which films share with [Child of God],"Your query is ambiguous. Please provide more details for a valid Cypher query. Are you asking about films that share the same director, actor, genre, or any other specific attribute with the movie ""Child of God""?","{'The Road', 'No Country for Old Men', 'The Counselor', 'Good Time Max', 'As I Lay Dying', 'Palo Alto', 'All the Pretty Horses', 'The Sunset Limited'}"
14,who wrote the screenplay for the movies starred by [Chris Stapp],"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Chris Stapp'}), (m)-[:WRITTEN_BY]->(w:Writer) RETURN w.name""",{'Matt Heath'}
15,which has acted in concert with [Elena Fabrizi],"MATCH (a:Actor {name: 'Elena Fabrizi'})<-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]->(coActor:Actor)
RETURN coActor.name AS 'Actors who acted with Elena Fabrizi'",{'Carlo Verdone'}
16,what are the movies that have the same screenwriter of [Mantrap],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer) 
WHERE m.name = ""Mantrap"" 
WITH w.name AS writer 
MATCH (movie:Movie)-[:WRITTEN_BY]->(writer:Writer) 
WHERE writer.name = writer 
RETURN movie.name","{'Cass Timberlane', 'Dodsworth', 'Arrowsmith', 'Elmer Gantry'}"
17,what has been the years of [Walter Hill] &apos;s films,"""MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Walter Hill'})-[:RELEASE_YEAR]->(y:Year) RETURN y.name""","{'1988', '2002', '1985', '1978', '1980', '2012', '1975', '1992', '1989', '1990', '1996', '1981', '1942', '1979', '1982', '2005', '1995', '1984', '2000', '1986', '2011', '1987'}"
18,with [Lynne Frederick],"The provided natural language query ""with [Lynne Frederick]"" is too ambiguous as it doesn't specify what information is needed about Lynne Frederick in the context of the movie database. For example, it could mean finding movies where Lynne Frederick is an actor, director, or writer. 

For instance, if you want to find the movies where Lynne Frederick acted, the query would be:

```
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) 
WHERE a.name = 'Lynne Frederick' 
RETURN m.name
```","{'Jane Greer', 'Louis Calhern', 'Peter Sellers', 'Deborah Kerr', 'Michael Murphy', 'Elke Sommer', 'Lionel Jeffries', 'Stewart Granger', 'C. Aubrey Smith', 'Ronald Colman', 'Raymond Massey', 'Nigel Davenport', 'Madeleine Carroll'}"
19,the director [Carl Gottlieb] co-directed films with who,"MATCH (d:Director {name: 'Carl Gottlieb'})<-[:DIRECTED_BY]-(m:Movie)-[:DIRECTED_BY]->(co:Director)
WHERE d.name != co.name 
RETURN co.name","{'John Landis', 'Robert K. Weiss', 'Peter Horton', 'Joe Dante'}"
20,the scriptwriter of [One False Move] also wrote movies,"MATCH (m:Movie {name: ""One False Move""})-[:WRITTEN_BY]->(w:Writer)
MATCH (w)-[:WRITTEN_BY]<-(m2:Movie)
RETURN m2.name","{'A Family Thing', 'Sling Blade', 'Some Folks Call It a Sling Blade', ""Jayne Mansfield's Car"", 'Daddy and Them', 'The Gift'}"
21,the actor also [Flakes] in which films,"""MATCH (a:Actor {name: 'Flakes'})-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""","{'Rick', 'Live Free or Die', 'Tadpole'}"
22,Working Group with [Miles Davis],"The provided natural language query ""Working Group with [Miles Davis]"" does not provide sufficient context to generate a Cypher query. There's no clear indication of what is meant by ""Working Group"" or how ""Miles Davis"" is related to the database schema provided. Please provide more information or context.",{'Colin Friels'}
23,which films share the same [The Blue Room],"It seems like the query is incomplete or not clear. The phrase 'which films share the same [The Blue Room]' lacks context. It's not clear what 'The Blue Room' is referring to. It could be a movie, director, actor, genre, etc. Could you please provide more details or context?",{'On Tour'}
24,What were the dates of release of the films [Kyle McCulloch],"Your natural language query is not clear. If ""Kyle McCulloch"" is the name of a movie, then the Cypher query to get its release date would be:

```
MATCH (m:Movie {name: ""Kyle McCulloch""})-[:RELEASE_YEAR]->(y:Year)
RETURN y.name
```

This will return the years of release for the movie named ""Kyle McCulloch"".

If ""Kyle McCulloch"" is a director, writer or actor, then the query needs to be adjusted accordingly.",{'1988'}
25,which are the directors of films directed by [Meisa Kuroki],"The query seems inconsistent. A movie cannot be directed by 'Meisa Kuroki' and then have other directors. However, if you are looking for the directors of the movies which 'Meisa Kuroki' has acted in, the query would be:

```cypher
MATCH (a:Actor {name:""Meisa Kuroki""})<-[:STARRED_ACTORS]-(m:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name
```","{'Fumihiko Sori', 'Takashi Miike'}"
26,The director of [Snow Cake] also directed the films,"MATCH (m:Movie {name: ""Snow Cake""})-[:DIRECTED_BY]->(d:Director)
MATCH (d)-[:DIRECTED_BY]<-(m2:Movie)
RETURN m2.name","{'My Little Eye', 'Trauma', 'Resurrection Man', 'Hunky Dory'}"
27,which are preceded by [Nicoletta Braschi],"The provided natural language query ""which are preceded by [Nicoletta Braschi]"" is not clear and doesn't specify what kind of entity or attribute should be searched for in connection with Nicoletta Braschi. However, if we assume that Nicoletta Braschi is an actor and we want to get the movies in which she starred, the Cypher query would be:

```cypher
MATCH (a:Actor {name: ""Nicoletta Braschi""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```","{'Roberto Benigni', 'Paolo Bonacelli'}"
28,which are preceded by [John Allen Nelson],"Given the current schema, your query is not clear. The term ""preceded by"" is not defined in the context of this database schema. Please provide more specific details or context for your query. For example, are you asking for movies directed by John Allen Nelson? Or are you referring to something else? Please clarify.","{'Deborah Shelton', 'Steve Levitt'}"
29,which films share with [Mad Love],"The natural language query is not clear on what terms ""Mad Love"" refers to or what ""share"" means in this context. Does ""Mad Love"" refer to a movie, actor, director, or another entity? And do you want to know which films share the same director, actor, genre, etc.?

Assuming ""Mad Love"" is a movie and by ""share"" you mean films that share the same director, the Cypher query would be:

```cypher
MATCH (m1:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)
WHERE m1.name = ""Mad Love""
RETURN m2.name
```

This query will return the names of movies that are directed by the same director as ""Mad Love"". Please provide more specific information for a more accurate query.","{'Libertarias', 'Endgame', 'The Blood Spattered Bride'}"
30,who directed the films staged by [Manoj Joshi],"```cypher
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Manoj Joshi""}), (m)-[:DIRECTED_BY]->(d:Director)
RETURN d.name
```",{'Abhishek Jain'}
31,when the films directed by the release of [Jacques Mayol],"Your query seems to be incorrect or ambiguous. Jacques Mayol is a renowned diver, not a director. Or if he's a director in your database, the phrase ""films directed by the release of Jacques Mayol"" doesn't make sense. Could you please provide a clear query?",{'1988'}
32,with [Charles Gordone],"This natural language query ""with [Charles Gordone]"" is incomplete or ambiguous, and does not specify what information is desired about Charles Gordone (e.g., what movies he has directed, written, starred in, etc.). Please provide more specific details or context.","{'Scatman Crothers', 'Barry White'}"
33,which are preceded by [Edward Norton],"The natural language query seems to be incomplete or ambiguous. The phrase ""which are preceded by [Edward Norton]"" does not specify the entity or relation to which Edward Norton is related. Please provide additional context or clarify the query.","{'Robin Williams', 'Jessica Biel', 'Anne Bancroft', 'Jon Voight', 'Noah Emmerich', 'Jenna Elfman', 'David Morse', 'Tim Roth', 'Danny DeVito', ""Beverly D'Angelo"", 'Paul Giamatti', 'Catherine Keener', 'Angela Bassett', 'Ralph Fiennes', 'Jeremy Renner', 'Marlon Brando', 'Robert De Niro', 'Courtney Love', 'Anthony Hopkins', 'Brad Pitt', 'Drew Barrymore', 'Evan Rachel Wood', 'Woody Harrelson', 'Helena Bonham Carter', 'Rory Culkin', 'Colin Farrell', 'Milla Jovovich', 'Edward Furlong', 'William Hurt', 'Harvey Keitel', 'Liv Tyler', 'Ben Stiller'}"
34,which films have the same [St. Ives],"The query is not clear about what ""St. Ives"" refers to. It could be a movie name, director name, actor name, etc. I'll assume it's a movie name.

MATCH (m:Movie {name: ""St. Ives""})-[:HAS_GENRE]->(g:Genre)<-[:HAS_GENRE]-(other:Movie)
RETURN other.name","{""Murphy's Law"", 'Lola', 'Mr. Majestyk', 'Hard Times', 'The Valachi Papers', '10 to Midnight', 'Love and Bullets', 'Breakout', 'The Evil That Men Do', ""Chato's Land"", 'Machine-Gun Kelly', 'This Property Is Condemned', 'Telefon', 'Once Upon a Time in the West', 'Assassination', 'Breakheart Pass', 'Death Hunt', 'The Mechanic', 'Messenger of Death', 'Death Wish II', 'The Magnificent Seven', ""You Can't Win 'Em All"", 'Death Wish', 'Cold Sweat', 'Death Wish 3', 'The Dirty Dozen'}"
35,who has written the films put on stage by [Daryl Wein],"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:'Daryl Wein'}), (m:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name
```",{'Peter Duchan'}
36,When films directed by the release of [Thomas Lennon],"Your natural language query is not clear. Please provide a clear query. For example, ""Find movies directed by Thomas Lennon"" or ""Find movies released in the year of Thomas Lennon's birth"".","{'2005', '2006', '2013'}"
37,what genres do [Clare Sera] &apos;s movies fall under,"""MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Clare Sera'}), (m)-[:HAS_GENRE]->(g:Genre) RETURN g.name""",{'Comedy'}
38,the screenwriter of [Baby the Rain Must Fall] also wrote which movies,"MATCH (m:Movie {name: ""Baby the Rain Must Fall""})-[:WRITTEN_BY]->(w:Writer)
MATCH (w)-[:WRITTEN_BY]<-(otherMovies:Movie)
RETURN otherMovies.name","{'Of Mice and Men', 'The Trip to Bountiful', 'To Kill a Mockingbird', 'Tender Mercies', 'Hurry Sundown'}"
39,who worked with [Varun Dhawan],"This query is ambiguous as it does not specify in what capacity (director, writer, actor etc.) Varun Dhawan worked. However, we can assume that Varun Dhawan is an actor and we want to find all the people who worked with him in the movies he acted in.

In this case, the Cypher query would be something like:

```cypher
MATCH (a:Actor {name: ""Varun Dhawan""})-[:STARRED_ACTORS]-(m:Movie)-[:DIRECTED_BY|:WRITTEN_BY|:STARRED_ACTORS]-(p)
RETURN p.name
```

This query will return the names of all the people (directors, writers, actors) who worked with Varun Dhawan in the movies he acted in.","{'Alia Bhatt', 'Rishi Kapoor'}"
40,which films share with [Made of Honor],"Your query is not clear. Please specify what you mean by ""share"". Do you mean films that share the same director, actor, writer, year, language, tag, genre, votes, or rating with ""Made of Honor""?","{'Due Date', 'Josie and the Pussycats', ""Can't Hardly Wait""}"
41,which films share with [Clerks],"The natural language query can be interpreted in multiple ways (e.g., share the same director, writer, actor, etc.). Here is how to get films that share the same director with ""Clerks"":

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)
WHERE m.name = 'Clerks'
RETURN m2.name
```

The query first matches movies that are directed by the same director as ""Clerks"", and then returns their names. Replace `DIRECTED_BY` with the appropriate relationship type if you want to find movies that share another attribute with ""Clerks"".","{'Dogma', 'Jay and Silent Bob Strike Back', 'Mallrats', 'Zack and Miri Make a Porno', 'Tusk', 'Chasing Amy', 'Red State', 'Jersey Girl', 'Clerks II'}"
42,which films share with [Quality Street],"The natural language query is a bit unclear. To generate a Cypher query, I need more information about what does it mean by ""share with Quality Street"". It could mean films directed by the same director, written by the same writer, having same actors, released in the same year, having same language, tags, genre, votes or rating. 

Considering it's about sharing the same director, the Cypher query could be:

```cypher
MATCH (m1:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie) 
WHERE m1.name = ""Quality Street"" 
RETURN m2.name
```

This query will return all movies that share the same director with ""Quality Street"". 

Please provide more specific details if the query is about another factor.","{'Alice Adams', 'Top Hat', 'The Fourth Angel', 'Follow the Fleet', 'D.A.R.Y.L.'}"
43,who is registered as editor of [Virginia Kellogg] written films,"The database schema provided does not include an ""Editor"" entity or a relationship that could identify the editor of a film. Therefore, it is impossible to write a Cypher query to find the editor of films written by Virginia Kellogg based on the information given.","{'Raoul Walsh', 'John Cromwell'}"
44,The films led by [Stuart Urban] were released during which years,"""MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Stuart Urban'}), (m)-[:RELEASE_YEAR]->(y:Year) RETURN y.name""",{'1997'}
45,director of [Introducing Dorothy Dandridge] also directed the films,"MATCH (m:Movie {name: ""Introducing Dorothy Dandridge""})-[:DIRECTED_BY]->(d:Director)
MATCH (d)-[:DIRECTED_BY]<-(m2:Movie)
RETURN m2.name","{'Three Wishes', 'The Prince and Me', 'If These Walls Could Talk 2', 'Material Girls', 'Lost in Yonkers', 'Valley Girl', 'Real Genius', 'Angie', 'Tribute', 'Out to Sea', 'Rambling Rose'}"
46,when films directed by the release of [Edward Childs Carpenter],"The natural language query is ambiguous. However, I'll make an assumption about its meaning. If you want to know the release years of the films directed by Edward Childs Carpenter, the query would look like this:

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:""Edward Childs Carpenter""})-[:RELEASE_YEAR]->(y:Year)
RETURN y.name
```","{'1942', '1941'}"
47,which films share with [Medea],"It's unclear from the query what sharing with ""Medea"" means. Are we looking for movies that share the same director, actor, writer, or some other attribute? Please provide more context.","{'Gertrud', 'Dogville', 'Master of the House', 'Arabian Nights', 'Teorema', 'The Hawks and the Sparrows', 'The Five Obstructions', 'The Decameron', 'Accattone', 'Ro.Go.Pa.G.', 'Love Meetings', 'Vampyr', 'Mamma Roma', 'The Element of Crime', 'Breaking the Waves', 'The Passion of Joan of Arc', 'La rabbia', 'Melancholia', 'The Canterbury Tales', 'Epidemic', 'The Trojan Women', 'Dear Wendy', 'Europa', 'Antichrist', 'Salò, or the 120 Days of Sodom', 'The Boss of It All', 'Oedipus Rex', 'Dancer in the Dark', 'The Gospel According to St. Matthew', 'The Idiots', 'Manderlay'}"
48,which films share with [The Devil at 4 O'Clock],"Your query is incomplete. Please specify what kind of information the films should share with ""The Devil at 4 O'Clock"". For example, do they share the same director, actor, year of release, language, tag, genre, votes, or rating?","{'Fire Down Below', 'Seven Thieves', 'Trapeze', ""Murphy's War""}"
49,which films share with [The Belly of an Architect],"This query is ambiguous as it doesn't specify what the films share with ""The Belly of an Architect"". Is it the director, the writer, the actors, the genre, or something else? Please provide more specific information.","{'The Falls', 'The Baby of Mâcon', 'The Pillow Book', ""Prospero's Books"", 'Drowning by Numbers', ""The Draughtsman's Contract"", 'Nightwatching', ""Rembrandt's J'Accuse""}"
50,which are preceded by [Marina Foïs],"Your query is not clear. Could you please specify what you mean by ""preceded by Marina Foïs""? Are you asking for movies where Marina Foïs was an actor, director, or writer? Please provide more details.","{'Romain Duris', 'Karin Viard', 'Niels Arestrup', 'Nicolas Duvauchelle', 'Kevin Bacon'}"
51,which are preceded by [Kate Connor],"Your query is not clear. Could you provide more context or clarify what you mean by ""preceded by Kate Connor""? Are you asking for movies directed by Kate Connor, movies where Kate Connor acted, or something else?","{'Eric Stoltz', 'Lyndsy Fonseca'}"
52,which films share with [Combat Shock],"Your query is not clear. Please specify the attribute or relationship that the films share with ""Combat Shock"". For example, do you want to know which films share the same director, actors, genre, etc. with ""Combat Shock""? Please provide more details.","{'The Theatre Bizarre', 'Life Is Hot in Cracktown'}"
53,which films share with [The Minus Man],"Your query is not clear. Could you please specify what you mean by ""share with [The Minus Man]""? Is it about sharing the same director, writer, actor, etc.?","{'The Mighty Quinn', 'Blade Runner'}"
54,The actor [Kevin Phillips] acted in concert with whom,"MATCH (a:Actor {name: 'Kevin Phillips'})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(coActor:Actor)
WHERE a.name != coActor.name
RETURN coActor.name","{'Johnny Strong', 'Costas Mandylor', 'Sean Patrick Flanery'}"
55,which types are the films played by [Steve Cochran],"```
MATCH (a:Actor {name: ""Steve Cochran""})<-[:STARRED_ACTORS]-(m:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name
```","{'Comedy', 'Western', 'Drama'}"
56,which films share with [The Sign of the Cross],"Your query isn't clear. What exactly is it that the other films should share with ""The Sign of the Cross""? Is it the director, actors, language, or something else? For example, if you want to find movies that share the same director with ""The Sign of the Cross"", you could use this query:

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(other:Movie)
WHERE m.name = ""The Sign of the Cross""
RETURN other.name
```

This query finds other movies that were directed by the same director as ""The Sign of the Cross"". Please provide more specific details so I can give you the correct Cypher query.","{'Test Pilot', 'Desire', 'Cleopatra', 'Mr. Smith Goes to Washington', 'The Mark', 'The Lives of a Bengal Lancer', 'Holiday', 'Theodora Goes Wild', 'Here Comes Mr. Jordan', 'The Talk of the Town', 'Love Me Tonight'}"
57,when films directed by the release of [John Fante],"The natural language query is not clear. It seems like there's a mix-up in the sentence. Could you please provide more details or rephrase the question? For example, if you want to know the films directed by John Fante and their release years, the Cypher query will be different compared to if you want to know films released in the same year as a movie directed by John Fante.","{'1962', '2006'}"
58,which languages are written by [Roland Schütt] in,"The provided natural language query seems to be incorrect or incomplete. It's not clear what it's asking for. A writer doesn't write in a language in this context, a movie is written by a writer and could be in a certain language. Please provide a valid query.",{'Swedish'}
59,which genres are the [Jérôme Tonnerre] films in,"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Jérôme Tonnerre""})-[:HAS_GENRE]->(g:Genre)
RETURN g.name
```","{'Romance', 'Drama'}"
60,which films share with [Operation Crossbow],"This query is vague and needs to be more specific. What exactly does the user want to know about the films that share with ""Operation Crossbow""? Are they asking about shared directors, actors, writers, genre, or some other attribute? Please provide more information.","{'One of Our Aircraft Is Missing', '49th Parallel', 'The Tales of Hoffmann', 'Gone to Earth', 'Behold a Pale Horse', 'Black Narcissus', 'The Red Shoes', 'Under Ten Flags', 'The Spy in Black', 'The Life and Death of Colonel Blimp', 'A Canterbury Tale', 'Anzio'}"
61,which films share with [Grown Ups],"The query is a bit ambiguous as it doesn't specify what ""share"" means in this context. It could refer to sharing the same director, actors, writers, genre, etc. Assuming it refers to sharing the same director, the Cypher query would be:

```cypher
MATCH (m:Movie {name: ""Grown Ups""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(sharedMovies:Movie)
RETURN sharedMovies.name
```

This query first finds the Movie with the name ""Grown Ups"", follows the DIRECTED_BY relation to its Director, and then finds any other Movies that are also directed by the same Director. The names of these shared movies are then returned. 

If ""share"" refers to a different attribute, such as genre or actors, replace `DIRECTED_BY` with the appropriate relationship, such as `HAS_GENRE` or `STARRED_ACTORS`.","{'Billy Madison', 'Grown Ups 2', 'Big Daddy', 'Happy Gilmore', 'The Waterboy', 'Little Nicky', ""You Don't Mess with the Zohan"", 'Going Overboard', 'Eight Crazy Nights', 'Jack and Jill'}"
62,who is registered as editor of [Joe Anderson] written films,"The database schema provided does not include an 'Editor' entity, and there is no specified relationship that connects an 'Editor' to a 'Movie'. Thus, it's impossible to produce a valid Cypher query for the provided natural language query. Please provide a valid query.",{'Sean McEwen'}
63,which wrote the films directed by [Leo Bill],"""MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:'Leo Bill'}), (m)-[:WRITTEN_BY]->(w:Writer) RETURN w.name""",{'Simon Rumley'}
64,Which languages are the [Jan Kounen] films in,"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Jan Kounen'}), (m)-[:IN_LANGUAGE]->(l:Language)
RETURN l.name
```",{'French'}
65,which films share with [Jesus' Son],"The natural language query is not explicit enough. Please provide more specific details such as ""which actors"", ""which directors"", ""which genres"" etc., the films share with ""Jesus' Son"".","{'The Messenger', 'Rampart', 'Married Life'}"
66,Working Group with [Dylan McDermott],"The given natural language query does not provide enough context to generate a Cypher query. It is not clear what ""Working Group"" refers to in the context of the database schema, and how it is related to ""Dylan McDermott"". Please provide more details or rephrase the query.","{'Penelope Ann Miller', 'Oliver Platt', 'Antonio Banderas', 'John Corbett', 'Tom Sizemore', 'Helen Hunt', 'John Payne', 'Birgitte Hjort Sørensen', 'Suzy Amis', 'Melanie Griffith', 'John Malkovich', 'Neve Campbell', 'Sharon Stone', 'Peter Facinelli', 'Gerard Butler', 'Bill Paxton', 'Aaron Eckhart', 'Elizabeth Perkins', 'Finley Jacobsen', 'Matthew Perry', 'Crispin Glover', 'Edmund Gwenn', 'Kristen Stewart', 'Harry Dean Stanton', 'Rene Russo', 'Clint Eastwood', 'Richard Attenborough', ""Maureen O'Hara""}"
67,the actor of [Deck the Halls] also starred in which films,"""MATCH (m:Movie {name: 'Deck the Halls'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(otherMovies:Movie)
RETURN otherMovies.name""","{'Inspector Gadget', ""Ferris Bueller's Day Off"", ""What's the Worst That Could Happen?"", 'Diminished Capacity', 'Biloxi Blues', 'Twins', 'The Stepford Wives', 'Ruthless People', 'Matilda', 'Max Dugan Returns', 'Hit and Run', 'Sex and the City 2', 'Torch Song Trilogy', 'You Can Count on Me', 'The Last Shot', 'Get Shorty', 'The Rainmaker', 'Infinity', 'The Freshman', 'Living Out Loud', 'Family Business', 'Death to Smoochy', 'Tin Men', 'The War of the Roses', 'Terms of Endearment', 'Going Ape!', 'Throw Momma from the Train', 'The Lorax', 'Glory', 'Marie and Bruce', 'Just Add Water', 'Jack the Bear', 'Addicted to Love', 'Batman Returns', 'The Road to Wellville', 'The Producers', ""Other People's Money"", 'Wonderful World', 'The Cable Guy', 'WarGames', 'Election', 'Sex and the City', 'Godzilla', 'Renaissance Man', 'Ladyhawke', 'Romancing the Stone', 'Solitary Man', 'Out on a Limb', 'Finding Amanda', 'Screwed', 'The Jewel of the Nile', 'Drowning Mona', 'The Music Man', 'Wise Guys', 'The Lion King', 'The Tale of Despereaux', 'Heist', 'The Good Night', 'Hoffa'}"
68,which types are the films produced by [Charles Webb],"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Charles Webb'})
MATCH (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name
```","{'Comedy', 'Drama'}"
69,which screenwriters co-wrote movies with [Douglas Heyes],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name: 'Douglas Heyes'}), (m)-[:WRITTEN_BY]->(co:Writer)
WHERE co.name != 'Douglas Heyes'
RETURN DISTINCT co.name","{'Harry Julian Fink', 'Alistair MacLean'}"
70,with [Jared Kusnitz],The query is not clear. Please provide a complete and clear query.,"{'Greyson Chadwick', 'Carissa Capobianco', 'Chandler Darby'}"
71,who are the directors of films written by [Adolfo Torres Portillo],"```
MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Adolfo Torres Portillo""}), (m)-[:DIRECTED_BY]->(d:Director)
RETURN d.name
```",{'René Cardona'}
72,which are preceded by [Brendan Meyer],"The provided natural language query ""which are preceded by [Brendan Meyer]"" is ambiguous and does not provide enough context to generate a Cypher query. It is unclear what type of entity Brendan Meyer is (Director, Writer, Actor, etc.) and what the ""preceded by"" is referring to in the context of the database schema. Please provide a more specific query.","{'Maika Monroe', 'Dan Stevens'}"
73,who acted in the films written by [Steve Barron],"""MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: 'Steve Barron'}), (m:Movie)-[:STARRED_ACTORS]->(a:Actor) RETURN a.name""","{'Octavio Gómez Berríos', 'Udo Kier', 'Martin Landau', 'Jonathan Taylor Thomas', 'Eugenia Yuan'}"
