,query,target_query,generated_query
25,What the films have [Robert Redford] an actor in ,"{'The Candidate', 'Little Fauss and Big Halsy', 'Legal Eagles', 'Three Days of the Condor', 'Barefoot in the Park', 'Out of Africa', 'The Great Gatsby', 'The Company You Keep', 'The Hot Rock', 'Havana', 'The Natural', 'All Is Lost', 'Sneakers', 'The Great Waldo Pepper', 'Spy Game', 'This Property Is Condemned', 'Indecent Proposal', 'A Walk in the Woods', 'All the Presidents Men', 'The Way We Were', 'Lions for Lambs', 'Brubaker', 'The Last Castle', 'Jeremiah Johnson', 'The Electric Horseman', 'Butch Cassidy and the Sundance Kid', 'An Unfinished Life', 'The Horse Whisperer', 'The Sting', 'Downhill Racer', 'The Chase', 'Inside Daisy Clover'}","{'The Candidate', 'Little Fauss and Big Halsy', 'Three Days of the Condor', 'Legal Eagles', 'Barefoot in the Park', 'Out of Africa', 'The Great Gatsby', 'The Company You Keep', 'The Hot Rock', 'Havana', 'The Natural', 'All Is Lost', 'Sneakers', 'The Great Waldo Pepper', 'This Property Is Condemned', 'Indecent Proposal', 'A Walk in the Woods', 'Downhill Racer', 'The Way We Were', 'Brubaker', 'Lions for Lambs', 'The Last Castle', 'Jeremiah Johnson', 'The Electric Horseman', 'Butch Cassidy and the Sundance Kid', 'An Unfinished Life', 'The Horse Whisperer', 'The Sting', 'Spy Game', ""All the President's Men"", 'The Chase', 'Inside Daisy Clover'}"
26,what the films have done [Scott Bakula] to act in,"{'Cats Dont Dance', 'Necessary Roughness', 'Blue Smoke', 'Lord of Illusions'}","{'Necessary Roughness', 'Lord of Illusions', 'Blue Smoke', ""Cats Don't Dance""}"
27,What makes [Rooney Mara] action in,set(),"{'A Nightmare on Elm Street', 'Side Effects', 'Trash', 'Tanner Hall', ""Ain't Them Bodies Saints"", 'The Girl with the Dragon Tattoo'}"
28,Which movies did [Rachel Ward] star in,"{'On the Beach', 'Against All Odds', 'Dead Men Dont Wear Plaid', 'After Dark, My Sweet', 'How to Get Ahead in Advertising'}","{'On the Beach', 'Against All Odds', ""Dead Men Don't Wear Plaid"", 'After Dark, My Sweet', 'How to Get Ahead in Advertising'}"
29,What does [Brad Dourif] appear in,"{'Seed of Chucky', 'Death and Cremation', 'Mississippi Burning', 'Childs Play', 'Bride of Chucky', 'The Wild Blue Yonder', 'The Exorcist III'}","{'Seed of Chucky', 'Death and Cremation', ""Child's Play"", 'Mississippi Burning', 'The Exorcist III', 'Bride of Chucky', 'The Wild Blue Yonder'}"
30,The films have made [Shawn Ku] take action in the,set(),{'Samsara'}
31,What the movies have done [Julie Davis] to act in,{'Amys Orgasm'},"{""Amy's Orgasm""}"
32,what is [Douglas Hodge] appear in,{'Salomes Last Dance'},"{""Salome's Last Dance""}"
33,what does [Mary Stuart Masterson] appear in,"{'Fried Green Tomatoes', 'Some Kind of Wonderful', 'Radioland Murders', 'Heaven Help Us', 'Chances Are', 'Heavens Prisoners', 'Bed of Roses', 'Bad Girls', 'At Close Range'}","{""Heaven's Prisoners"", 'Fried Green Tomatoes', 'Some Kind of Wonderful', 'Radioland Murders', 'Heaven Help Us', 'Chances Are', 'Bed of Roses', 'Bad Girls', 'At Close Range'}"
34,What the films have made [Teresa Palmer] to act in,"{'I Am Number Four', 'The Sorcerers Apprentice', 'Warm Bodies', 'Restraint'}","{'I Am Number Four', ""The Sorcerer's Apprentice"", 'Warm Bodies', 'Restraint'}"
35,Who makes [Jenna Fischer] star in,set(),"{'LolliLove', 'Hall Pass'}"
36,What films make [Sean Astin] appear in,"{'50 First Dates', 'Staying Together', 'The Long Way Home', 'Moms Night Out', 'Forever Strong', 'Rudy', 'Where the Day Takes You', 'Encino Man', 'Stay Cool', 'Toy Soldiers', 'The Final Season'}","{'50 First Dates', 'Staying Together', 'The Final Season', 'The Long Way Home', 'Rudy', 'Where the Day Takes You', ""Moms' Night Out"", 'Encino Man', 'Stay Cool', 'Forever Strong', 'Toy Soldiers'}"
37,what does [Jane Greer] appear in,"{'Man of a Thousand Faces', 'Desperate Search', 'They Wont Believe Me', 'The Big Steal', 'Out of the Past', 'The Prisoner of Zenda'}","{'Man of a Thousand Faces', 'Desperate Search', ""They Won't Believe Me"", 'The Big Steal', 'Out of the Past', 'The Prisoner of Zenda'}"
38,What the films have [Jackie Chan] an actor in,"{'Little Big Soldier', 'Rush Hour', 'Thunderbolt', 'Wheels on Meals', 'Police Story', 'The Spy Next Door', 'Island of Fire', 'Rumble in the Bronx', 'Around the World in 80 Days', 'The Tuxedo', 'Gorgeous', 'Shanghai Noon', 'The Karate Kid', 'Twin Dragons', 'City Hunter', 'Police Story 2', 'Spiritual Kung Fu', 'Armour of God', 'Project A', 'Rush Hour 2', 'Shinjuku Incident', 'Snake in the Eagles Shadow', 'The Accidental Spy', 'Who Am I?', 'The Medallion', '1911', 'Mr. Nice Guy', 'The Protector', 'Dragons Forever', 'New Police Story', 'Rush Hour 3', 'The Fearless Hyena', 'The Young Master', 'Drunken Master', 'The Myth', 'Crime Story', 'The Forbidden Kingdom'}","{'Little Big Soldier', 'Rush Hour', 'Thunderbolt', 'Wheels on Meals', 'Police Story', 'The Spy Next Door', 'Island of Fire', 'Rumble in the Bronx', 'Around the World in 80 Days', 'Shanghai Noon', 'The Tuxedo', 'Gorgeous', 'The Karate Kid', 'Twin Dragons', 'City Hunter', 'Police Story 2', 'Spiritual Kung Fu', 'Armour of God', 'Project A', 'Rush Hour 2', 'Shinjuku Incident', ""Snake in the Eagle's Shadow"", 'The Accidental Spy', 'Who Am I?', 'The Medallion', '1911', 'Mr. Nice Guy', 'The Protector', 'Dragons Forever', 'New Police Story', 'Rush Hour 3', 'The Fearless Hyena', 'The Young Master', 'Drunken Master', 'The Myth', 'Crime Story', 'The Forbidden Kingdom'}"
39,What films [Kris Kristofferson] an actor in,"{'Trouble in Mind', 'The Greening of Whitney Brown', 'Big Top Pee-wee', 'Dolphin Tale', 'Rollover', 'A Star Is Born', 'Dolphin Tale 2', 'Flashpoint', 'The Sailor Who Fell from Grace with the Sea', 'Songwriter', 'A Soldiers Daughter Never Cries', 'Heavens Gate', 'Pharaohs Army', 'Blume in Love', 'Convoy', 'Millennium', 'Semi-Tough'}","{'Trouble in Mind', 'Blume in Love', 'The Greening of Whitney Brown', 'Dolphin Tale', ""Pharaoh's Army"", 'A Star Is Born', 'Dolphin Tale 2', 'Rollover', 'Semi-Tough', 'Flashpoint', 'The Sailor Who Fell from Grace with the Sea', 'Convoy', 'Songwriter', 'Big Top Pee-wee', ""Heaven's Gate"", 'Millennium', ""A Soldier's Daughter Never Cries""}"
40,what the movies do [Alan Ormsby] appear in,{'Children Shouldnt Play with Dead Things'},"{""Children Shouldn't Play with Dead Things""}"
41,What films make [Mo'Nique] appear in,set(),"{'Hair Show', 'Precious', 'Phat Girlz'}"
42,What the movies have done [Mel Harris] to act in,"{'Hangmans Curse', 'Suture', 'Camerons Closet', 'K-9', 'Child of Rage'}","{'Suture', 'K-9', ""Cameron's Closet"", ""Hangman's Curse"", 'Child of Rage'}"
43,What films do [Sylvia Kristel] appear in,"{'Private Lessons', 'Emmanuelle', 'Lady Chatterleys Lover', 'The Fifth Musketeer', 'Red Heat'}","{""Lady Chatterley's Lover"", 'Private Lessons', 'Emmanuelle', 'The Fifth Musketeer', 'Red Heat'}"
44,What makes [Timothy Hutton] action in,set(),"{'The Dark Half', 'The Temp', ""Everybody's All-American"", 'The Substance of Fire', 'Made in Heaven', 'The Alphabet Killer', 'Playing God', 'Serious Moonlight', 'The Last Mimzy', 'City of Industry', 'Iceman', 'Daniel', 'The Killing Room', 'Deterrence', 'The Falcon and the Snowman', 'Avenger', 'Ordinary People', 'Taps'}"
45,Which movies have [Alexis Bledel] star in,"{'Post Grad', 'The Good Guy', 'The Sisterhood of the Traveling Pants 2', 'Sin City', 'Im Reed Fish', 'The Sisterhood of the Traveling Pants'}","{'Post Grad', 'The Good Guy', ""I'm Reed Fish"", 'The Sisterhood of the Traveling Pants 2', 'Sin City', 'The Sisterhood of the Traveling Pants'}"
46,[Kirby Dick] is shown in which movies,"{'The Invisible War', 'Outrage', 'This Film Is Not Yet Rated'}",{'The Invisible War'}
47,What movies do [Jodie Foster] appear in,"{'The Hotel New Hampshire', 'The Accused', 'Panic Room', 'Inside Man', 'The Silence of the Lambs', 'Bugsy Malone', 'Elysium', 'Catchfire', 'Freaky Friday', 'The Beaver', 'Contact', 'Carny', 'Five Corners', 'The Brave One', 'The Little Girl Who Lives Down the Lane', 'Nims Island', 'Flightplan', 'Sommersby', 'Foxes', 'Carnage', 'Candleshoe', 'Maverick', 'Anna and the King', 'Little Man Tate', 'Nell'}","{'The Hotel New Hampshire', 'The Accused', 'Panic Room', 'Inside Man', 'The Silence of the Lambs', 'Bugsy Malone', 'Elysium', 'Catchfire', 'The Beaver', 'Freaky Friday', 'Contact', 'Carny', 'The Brave One', 'Five Corners', 'The Little Girl Who Lives Down the Lane', 'Flightplan', 'Sommersby', ""Nim's Island"", 'Foxes', 'Carnage', 'Candleshoe', 'Maverick', 'Anna and the King', 'Little Man Tate', 'Nell'}"
48,What makes [Meredith Scott Lynn],{'Billys Hollywood Screen Kiss'},"{""Billy's Hollywood Screen Kiss""}"
49,what is [Christina Applegate] appear in,"{'The Rocker', 'Just Visiting', 'The Sweetest Thing', 'Hall Pass', 'Employee of the Month', 'Dont Tell Mom the Babysitters Dead', 'The Big Hit', 'Surviving Christmas', 'View from the Top'}","{'The Rocker', 'Just Visiting', 'The Sweetest Thing', ""Don't Tell Mom the Babysitter's Dead"", 'Hall Pass', 'Employee of the Month', 'The Big Hit', 'Surviving Christmas', 'View from the Top'}"
50,What films have [Betty Hutton] a actor in,"{'Annie Get Your Gun', 'The Perils of Pauline', 'The Greatest Show on Earth', 'The Miracle of Morgans Creek'}","{""The Miracle of Morgan's Creek"", 'Annie Get Your Gun', 'The Greatest Show on Earth', 'The Perils of Pauline'}"
51,That makes [Schuyler Fisk] star in,{'Im Reed Fish'},"{""I'm Reed Fish""}"
52,What films make [Tim McInnerny] appear in,{'The Emperors New Clothes'},"{""The Emperor's New Clothes""}"
53,What the films have made [Jo Van Fleet] star in,"{'Ill Cry Tomorrow', 'Wild River'}","{'Wild River', ""I'll Cry Tomorrow""}"
54,What films have made [Jimmy Durante] star in,"{'Two Sisters from Boston', 'What! No Beer?', 'Billy Roses Jumbo', 'Hollywood Party'}","{""Billy Rose's Jumbo"", 'Two Sisters from Boston', 'What! No Beer?', 'Hollywood Party'}"
55,what makes [Elisabetta Pozzi] appear in,{'Maledetto il giorno che tho incontrato'},"{""Maledetto il giorno che t'ho incontrato""}"
56,What the movies did [Judge Reinhold] act in,"{'Off Beat', 'Fast Times at Ridgemont High', 'Rosalie Goes Shopping', 'Ruthless People', 'Beethovens 3rd', 'Beverly Hills Cop II', 'Running Scared', 'Head Office', 'Zandalee', 'Vice Versa', 'Beverly Hills Cop'}","{'Off Beat', 'Fast Times at Ridgemont High', 'Rosalie Goes Shopping', ""Beethoven's 3rd"", 'Ruthless People', 'Beverly Hills Cop II', 'Running Scared', 'Head Office', 'Zandalee', 'Vice Versa', 'Beverly Hills Cop'}"
57,Which movies made [Alain Delon] star in,"{'Scorpio', 'Le Samouraï', 'The Leopard', 'Le Cercle Rouge', 'LEclisse', 'Spirits of the Dead', 'La Piscine', 'Purple Noon', 'Rocco and His Brothers', 'The Girl on a Motorcycle', 'Zorro'}","{'Scorpio', 'Zorro', 'The Leopard', 'Le Cercle Rouge', 'Spirits of the Dead', 'La Piscine', ""L'Eclisse"", 'Purple Noon', 'Rocco and His Brothers', 'The Girl on a Motorcycle', 'Le Samouraï'}"
58,Which films have made [Clark Gable] star in,"{'Cain and Mabel', 'Mutiny on the Bounty', 'Command Decision', 'Night Nurse', 'Manhattan Melodrama', 'Night Flight', 'Saratoga', 'Strange Cargo', 'Test Pilot', 'No Man of Her Own', 'Soldier of Fortune', 'Dancing Lady', 'Idiots Delight', 'It Started in Naples', 'Possessed', 'The Misfits', 'Boom Town', 'Any Number Can Play', 'Comrade X', 'Teachers Pet', 'The Tall Men', 'Too Hot to Handle', 'Betrayed', 'Across the Wide Missouri', 'China Seas', 'A Free Soul', 'Polly of the Circus', 'San Francisco', 'But Not for Me', 'It Happened One Night', 'The Hucksters', 'Red Dust', 'The King and Four Queens', 'The Call of the Wild', 'After Office Hours', 'Wife vs. Secretary', 'Mogambo', 'Forsaking All Others'}","{""Teacher's Pet"", 'Cain and Mabel', 'Mutiny on the Bounty', 'Command Decision', ""Idiot's Delight"", 'Night Nurse', 'Manhattan Melodrama', 'Night Flight', 'Strange Cargo', 'Saratoga', 'Test Pilot', 'Soldier of Fortune', 'No Man of Her Own', 'Dancing Lady', 'It Started in Naples', 'Possessed', 'The Misfits', 'Boom Town', 'Any Number Can Play', 'Comrade X', 'The Tall Men', 'Too Hot to Handle', 'Betrayed', 'Across the Wide Missouri', 'China Seas', 'A Free Soul', 'Polly of the Circus', 'San Francisco', 'But Not for Me', 'It Happened One Night', 'The Hucksters', 'Red Dust', 'The King and Four Queens', 'The Call of the Wild', 'After Office Hours', 'Wife vs. Secretary', 'Mogambo', 'Forsaking All Others'}"
59,[Erin O'Brien] appears in which movies,set(),{'Onionhead'}
60,What movies have made [Millard Mitchell] star in,"{'Mister 880', 'The Gunfighter', 'Twelve OClock High'}","{""Twelve O'Clock High"", 'Mister 880', 'The Gunfighter'}"
61,What films have [David O'Hara] an actor in,set(),{'Fever'}
62,This makes [Tab Hunter] star in,"{'Gunmans Walk', 'Polyester', 'The Girl He Left Behind', 'They Came to Cordura'}","{'They Came to Cordura', ""Gunman's Walk"", 'The Girl He Left Behind', 'Polyester'}"
63,[James Gandolfini] appears in which film,"{'The Last Castle', 'Welcome to the Rileys', 'Cinema Verite', 'The Drop', 'Night Falls on Manhattan', 'Surviving Christmas', 'Shes So Lovely', 'The Man Who Wasnt There', 'Terminal Velocity'}","{'The Last Castle', 'Welcome to the Rileys', ""She's So Lovely"", ""The Man Who Wasn't There"", 'Cinema Verite', 'The Drop', 'Night Falls on Manhattan', 'Surviving Christmas', 'Terminal Velocity'}"
64,What the films did [Viola Davis] take action in ,"{'Doubt', 'Blackhat', 'Prisoners', 'Beautiful Creatures', 'Wont Back Down', 'The Help'}","{'Doubt', 'Blackhat', 'Prisoners', 'Beautiful Creatures', ""Won't Back Down"", 'The Help'}"
65,The films have made [Spring Byington] act in,"{'Ill Be Seeing You', 'Please Dont Eat the Daisies'}","{""Please Don't Eat the Daisies"", ""I'll Be Seeing You""}"
66,What makes [Pat Buchanan] action,set(),{'An Unreasonable Man'}
67,Which movies made [Richard Gere] star in,"{'Bloodbrothers', 'Runaway Bride', 'Pretty Woman', 'Arbitrage', 'Bee Season', 'Breathless', 'Autumn in New York', 'Final Analysis', 'No Mercy', 'The Mothman Prophecies', 'Intersection', 'American Gigolo', 'Yanks', 'Power', 'King David', 'Primal Fear', 'The Double', 'The Hunting Party', 'The Flock', 'An Officer and a Gentleman', 'Days of Heaven', 'Brooklyns Finest', 'The Cotton Club', 'Sommersby', 'Internal Affairs', 'Red Corner', 'First Knight', 'Unfaithful', 'Mr. Jones', 'Amelia', 'The Jackal', 'Nights in Rodanthe'}","{'Bloodbrothers', 'Runaway Bride', 'Pretty Woman', 'Arbitrage', 'Bee Season', 'Breathless', 'Autumn in New York', 'Final Analysis', ""Brooklyn's Finest"", 'No Mercy', 'The Mothman Prophecies', 'Intersection', 'American Gigolo', 'Yanks', 'Power', 'King David', 'Primal Fear', 'The Double', 'The Hunting Party', 'The Flock', 'An Officer and a Gentleman', 'Days of Heaven', 'The Cotton Club', 'Sommersby', 'Red Corner', 'Internal Affairs', 'First Knight', 'Unfaithful', 'Mr. Jones', 'Amelia', 'The Jackal', 'Nights in Rodanthe'}"
68,What the movies have made [Bill Moseley] star in,"{'The Devils Rejects', 'The Texas Chainsaw Massacre 2'}","{""The Devil's Rejects"", 'The Texas Chainsaw Massacre 2'}"
69,What the films made [Cameron Diaz] star in,"{'What Happens in Vegas', 'Shrek', 'Charlies Angels', 'Theres Something About Mary', 'My Best Friends Wedding', 'The Last Supper', 'The Holiday', 'Very Bad Things', 'In Her Shoes', 'Being John Malkovich', 'Bad Teacher', 'Any Given Sunday', 'My Sisters Keeper', 'Feeling Minnesota', 'Shrek 2', 'The Green Hornet', 'The Box', 'Vanilla Sky', 'A Life Less Ordinary', 'Shrek the Halls', 'The Counselor', 'Sex Tape', 'The Invisible Circus', 'The Other Woman', 'Head Above Water', 'Knight and Day'}","{'What Happens in Vegas', 'Shrek', ""Charlie's Angels"", 'The Last Supper', 'The Holiday', ""My Best Friend's Wedding"", 'Very Bad Things', 'In Her Shoes', 'Being John Malkovich', ""My Sister's Keeper"", 'Bad Teacher', 'Any Given Sunday', 'Feeling Minnesota', 'Shrek 2', 'The Green Hornet', 'The Box', 'Vanilla Sky', 'A Life Less Ordinary', 'Shrek the Halls', 'The Counselor', 'Sex Tape', 'The Invisible Circus', 'The Other Woman', ""There's Something About Mary"", 'Head Above Water', 'Knight and Day'}"
70,What the films did [Sally Field] act in,"{'Kiss Me Goodbye', 'Absence of Malice', 'Norma Rae', 'Hooper', 'Murphys Romance', 'Eye for an Eye', 'The End', 'Soapdish', 'Forrest Gump', 'Places in the Heart', 'Stay Hungry', 'Not Without My Daughter', 'Punchline', 'Smokey and the Bandit', 'Lincoln', 'Mrs. Doubtfire', 'Beyond the Poseidon Adventure'}","{'Kiss Me Goodbye', 'Eye for an Eye', 'Absence of Malice', 'Norma Rae', 'Hooper', 'The End', 'Soapdish', 'Forrest Gump', 'Places in the Heart', 'Stay Hungry', 'Mrs. Doubtfire', ""Murphy's Romance"", 'Not Without My Daughter', 'Punchline', 'Lincoln', 'Smokey and the Bandit', 'Beyond the Poseidon Adventure'}"
71,What the films did [James Woods] act in,"{'Vampires', 'The Onion Field', 'End Game', 'The Boost', 'Northfork', 'This Girls Life', 'Once Upon a Time in America', 'Jamesy Boy', 'Immediate Family', 'Citizen Cohn', 'Cop', 'True Believer', 'The Virgin Suicides', 'Any Given Sunday', 'Straight Talk', 'Cats Eye', 'Best Seller', 'The Hard Way', 'Videodrome', 'Salvador', 'Ghosts of Mississippi', 'Diggstown', 'Against All Odds', 'The Specialist', 'The Getaway'}","{'Vampires', 'The Onion Field', 'End Game', 'The Boost', 'Northfork', ""This Girl's Life"", 'Once Upon a Time in America', 'Jamesy Boy', 'Immediate Family', 'Citizen Cohn', 'Cop', 'True Believer', 'The Virgin Suicides', 'Any Given Sunday', 'Straight Talk', 'Best Seller', 'The Hard Way', 'Videodrome', 'Salvador', 'Ghosts of Mississippi', 'Diggstown', 'Against All Odds', 'The Specialist', ""Cat's Eye"", 'The Getaway'}"
72,films have [Jonathan Silverman] to act in,"{'Weekend at Bernies', 'Weekend at Bernies II', 'Little Sister', 'Brighton Beach Memoirs', 'Stealing Home'}","{""Weekend at Bernie's"", 'Little Sister', ""Weekend at Bernie's II"", 'Brighton Beach Memoirs', 'Stealing Home'}"
73,What the films have [Sissy Spacek] a actor in,"{'Lake City', 'In the Bedroom', 'The River', 'An American Haunting', 'Badlands', '3 Women', 'Four Christmases', 'Missing', 'Coal Miners Daughter', 'The Straight Story', 'Carrie', 'The Grass Harp', 'Blast from the Past', 'Get Low', 'Raggedy Man', 'The Long Walk Home', 'night, Mother'}","{'Lake City', 'Badlands', 'In the Bedroom', 'An American Haunting', 'The River', '3 Women', 'Four Christmases', 'Missing', ""'night, Mother"", 'The Straight Story', 'Carrie', 'The Grass Harp', ""Coal Miner's Daughter"", 'Blast from the Past', 'Get Low', 'Raggedy Man', 'The Long Walk Home'}"
74,what does [Derek Jarman] appear in,"{'Sebastiane', 'Blue', 'Caravaggio', 'Edward II', 'Wittgenstein', 'Jubilee', 'The Last of England', 'The Tempest'}",{'Blue'}
75,What makes [Veronica Lake] star in,"{'Sullivans Travels', 'So Proudly We Hail!', 'I Married a Witch', 'The Blue Dahlia', 'The Glass Key'}","{'So Proudly We Hail!', 'I Married a Witch', 'The Blue Dahlia', 'The Glass Key', ""Sullivan's Travels""}"
76,What is [Jonathan Frid] action in,set(),{'House of Dark Shadows'}
77,What does [Milo O'Shea] appear in,set(),{'Ulysses'}
78,What makes [Charles Coburn] to act,"{'Impact', 'Monkey Business', 'The Green Years', 'Princess ORourke', 'Lured', 'Gentlemen Prefer Blondes', 'A Royal Scandal', 'Bachelor Mother', 'The More the Merrier', 'Heaven Can Wait', 'The Devil and Miss Jones', 'The Paradine Case'}","{'Impact', 'Monkey Business', 'The Green Years', 'Lured', ""Princess O'Rourke"", 'Gentlemen Prefer Blondes', 'A Royal Scandal', 'Bachelor Mother', 'The More the Merrier', 'Heaven Can Wait', 'The Devil and Miss Jones', 'The Paradine Case'}"
79,This is what makes [Barbra Streisand] star in,"{'The Owl and the Pussycat', 'Hello, Dolly!', 'Nuts', 'Yentl', 'Funny Lady', 'A Star Is Born', 'All Night Long', 'The Guilt Trip', 'The Prince of Tides', 'Whats Up, Doc?', 'Meet the Fockers', 'The Main Event', 'The Mirror Has Two Faces', 'Funny Girl', 'The Way We Were', 'Up the Sandbox'}","{'The Owl and the Pussycat', 'Hello, Dolly!', 'Nuts', 'Yentl', ""What's Up, Doc?"", 'Funny Lady', 'A Star Is Born', 'All Night Long', 'The Guilt Trip', 'The Prince of Tides', 'Funny Girl', 'Meet the Fockers', 'The Main Event', 'The Mirror Has Two Faces', 'The Way We Were', 'Up the Sandbox'}"
