,query,target_query,generated_query
32,What films have made [Virginia Weidler] star in,"```
MATCH (a:Actor {name: ""Virginia Weidler""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```","{'Babes on Broadway', 'The Lone Wolf Spy Hunt', 'The Youngest Profession', 'Best Foot Forward'}"
33,What makes [Billy Bob Thornton],"Since the query ""What makes [Billy Bob Thornton]"" is quite ambiguous, I will assume you intend to ask for the movies in which Billy Bob Thornton has been involved either as a Director, Writer, or Actor. 

The Cypher query for this would be:

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Billy Bob Thornton'})
RETURN m.name as Movies_Directed
UNION
MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: 'Billy Bob Thornton'})
RETURN m.name as Movies_Written
UNION
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Billy Bob Thornton'})
RETURN m.name as Movies_Acted
```","{'Bad Santa', ""The Man Who Wasn't There"", 'Pushing Tin', 'Mr. Woodcock', ""Monster's Ball"", 'Primary Colors', 'Some Folks Call It a Sling Blade', ""Jayne Mansfield's Car"", 'The Badge', 'One False Move', 'The Ice Harvest', 'A Simple Plan', 'Armageddon', 'Sling Blade', 'Bad News Bears', 'School for Scoundrels', 'Daddy and Them', 'The Judge', 'U Turn', 'Bandits', 'South of Heaven, West of Hell', 'The Alamo', 'Puss in Boots'}"
34,What films make [Gerard Butler] appear in,"""MATCH (a:Actor {name: 'Gerard Butler'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""","{'300', 'The Ugly Truth', 'Playing for Keeps', ""Nim's Island"", 'Machine Gun Preacher', 'RocknRolla', 'Olympus Has Fallen', 'How to Train Your Dragon', 'Gamer', 'Dracula 2000', 'Timeline', 'How to Train Your Dragon 2', 'Reign of Fire', 'The Phantom of the Opera', 'The Bounty Hunter', 'Law Abiding Citizen'}"
35,[Jorma Taccone] appears in which movies,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Jorma Taccone' RETURN m.name""",{'Hot Rod'}
36,What the movies made [Mari Natsuki] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Mari Natsuki' RETURN m.name""",{'Spirited Away'}
37,That makes [Nic Campos] star in,"```cypher
MATCH (a:Actor {name: ""Nic Campos""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```",{'Darkest Night'}
38,Ce qui fait [Veronica Sywak] star dans,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Veronica Sywak' RETURN m.name""",{'Welcome to the Jungle'}
39,ce qui fait [Jeremy Davies] star dans,"""MATCH (a:Actor {name: 'Jeremy Davies'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""","{'The Locusts', 'Teknolust', 'CQ', 'The Million Dollar Hotel', '29 Palms', 'Helter Skelter'}"
40,[Murray Head] appears in what movies,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Murray Head'}) RETURN m.name""",{'Sunday Bloody Sunday'}
41,What makes [Tina Holmes] action in,"The provided natural language query ""What makes [Tina Holmes] action in"" is not clear enough to be converted into a Cypher query. Please provide more details.","{'Shelter', 'Edge of Seventeen'}"
42,ce qui fait [Lee Horsley] star dans,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Lee Horsley'}) RETURN m.name""",{'The Sword and the Sorcerer'}
43,What films make [Hugues Quester] appear in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Hugues Quester'}) RETURN m.name""",{'A Tale of Springtime'}
44,ce qui fait [Trond Fausa] star dans,"""MATCH (a:Actor {name: 'Trond Fausa'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'The Bothersome Man'}
45,What makes [Peter Bogdanovich] to act in the,The provided natural language query is incomplete and doesn't provide enough information to generate a Cypher query. Please provide a complete query.,"{'The Dukes', 'Humboldt County'}"
46,ce qui fait [George Hardy] star dans,"""MATCH (a:Actor {name: 'George Hardy'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'Troll 2'}
47,films have made [Andrew Howard] act in,"""MATCH (a:Actor {name: 'Andrew Howard'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'I Spit on Your Grave'}
48,What causes [Rosa Sánchez] to act in,"Your query is not clear. If you want to know the movies in which Rosa Sánchez acted, the correct Cypher query would be:

```
MATCH (a:Actor {name: ""Rosa Sánchez""})-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
```",{'Bolivia'}
49,What the films have [Nanette Newman] an actor in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Nanette Newman' RETURN m.name""",{'The Stepford Wives'}
50,What the films made [Rod La Rocque] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Rod La Rocque' RETURN m.name""",{'Our Modern Maidens'}
51,What makes [Claude Lelouch] to act in,"There seems to be some confusion in the query. The entity ""Claude Lelouch"" could either be an Actor or Director but there's no direct relationship from Actor or Director to Movie in the schema provided. Therefore, it's impossible to construct a Cypher query based on the provided schema and the query. Please provide more details or correct the relationships in the schema.",{'Happy New Year'}
52,That makes [Mary Kay Place] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Mary Kay Place'}) RETURN m.name""","{'Captain Ron', 'Eye of God'}"
53,Ce qui fait [Candace Cameron Bure] star dans,"""MATCH (a:Actor {name: 'Candace Cameron Bure'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'She Cried No'}
54,the films have made [Joanna Pacula] take action in the,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Joanna Pacula'}) RETURN m.name""",{'The Kiss'}
55,What makes [Kathleen Ryan] to do,"The natural language query provided is unclear and does not specify what information is required about Kathleen Ryan. Possible queries could include finding out what movies Kathleen Ryan has directed, written, or acted in. However, without this information, a specific Cypher query cannot be provided. Please provide a more specific query.",{'The Sound of Fury'}
56,ce qui fait [Marcus Patrick] star dans,"""MATCH (a:Actor {name:'Marcus Patrick'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'Violet Tendencies'}
57,That makes [Odette Annable] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Odette Annable'}) RETURN m.name""",{'And Soon the Darkness'}
58,Which films have made [Sharon Tate] star in,"```
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Sharon Tate""}) 
RETURN m.name
```","{'The Wrecking Crew', 'Valley of the Dolls'}"
59,what causes [Dexter Fletcher] to appear in,"There seem to be some misunderstanding in the query as ""what causes [Dexter Fletcher] to appear in"" is not a clear requirement. If you want to find the movies that Dexter Fletcher directed, the Cypher query would be:

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Dexter Fletcher'}) RETURN m.name
```

If you are interested in movies where Dexter Fletcher was an actor, the Cypher query would be:

```cypher
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Dexter Fletcher'}) RETURN m.name
```

Please provide more specific information so I can assist you better.","{'Below', 'The Rachel Papers'}"
60,What makes [Elisabeth Shue] to do,"The provided natural language query ""What makes [Elisabeth Shue] to do"" is not clear. It doesn't specify what kind of information is being sought about Elisabeth Shue. For instance, it could be asking for the movies in which Elisabeth Shue acted, or the movies she directed or wrote. 

Assuming that we are looking for the movies in which Elisabeth Shue acted, the Cypher query would be:

```cypher
MATCH (a:Actor {name:'Elisabeth Shue'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```
For the movies she directed:

```cypher
MATCH (d:Director {name:'Elisabeth Shue'})<-[:DIRECTED_BY]-(m:Movie)
RETURN m.name
```
For the movies she wrote:

```cypher
MATCH (w:Writer {name:'Elisabeth Shue'})<-[:WRITTEN_BY]-(m:Movie)
RETURN m.name
```

Please provide more specific information in your query.","{'Palmetto', 'Piranha 3D', 'Adventures in Babysitting', 'Janie Jones', 'Link', 'The Karate Kid', 'Leaving Las Vegas', 'The Trigger Effect', 'Waking Madison', 'Cocktail', 'Molly', 'House at the End of the Street', 'Hollow Man', 'The Saint'}"
61,What makes [Margaret Field] appear in,"""MATCH (a:Actor {name: 'Margaret Field'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'The Man from Planet X'}
62,What is [Bruce Perens] action in,"The provided natural language query ""What is [Bruce Perens] action in"" is incomplete and does not provide enough information to generate a Cypher query. Please provide more details such as the entity type of 'Bruce Perens' and the specific action or connection you want to know about him.",{'Revolution OS'}
63,ce qui fait [Oscar Redding] star dans,"""MATCH (a:Actor {name: 'Oscar Redding'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""","{""Van Diemen's Land""}"
64,This makes [Camilla Sparv] star in,"```
MATCH (a:Actor {name: ""Camilla Sparv""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```","{'Downhill Racer', ""Mackenna's Gold"", 'Dead Heat on a Merry-Go-Round'}"
65,The films have made [Thomas Mann] take action in the,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Thomas Mann' RETURN m.name""",{'Project X'}
66,What makes [Tom Burke] to do,"The query ""What makes [Tom Burke] to do"" is ambiguous. It's unclear what kind of involvement Tom Burke has with the movies - is he an actor, a director, or a writer? Please provide more context.","{'Third Star', 'Donkey Punch'}"
67,[Thi Loc Truong] appears in which movies,"```cypher
MATCH (a:Actor {name: 'Thi Loc Truong'})<-[:STARRED_ACTORS]-(m:Movie) 
RETURN m.name
```",{'The Scent of Green Papaya'}
68,Which films have made [Rita Wilson] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Rita Wilson' RETURN m.name""",{'Jingle All the Way'}
69,The films have made [Joan Lorring] take action in the,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Joan Lorring'}) RETURN m.name""","{'The Big Night', 'Three Strangers', 'The Verdict'}"
70,[Jimi Mistry] appears on which films,"""MATCH (a:Actor {name: 'Jimi Mistry'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'The Guru'}
71,ce qui fait [Laurie Metcalf] star dans,"""MATCH (a:Actor {name: 'Laurie Metcalf'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'Dear God'}
72,What is [Yoshiko Shinohara] action in,The natural language query is not clear enough to be transformed into a Cypher query. Please provide more details.,{'Grave of the Fireflies'}
73,What the movies did make [Mercedes Cabral] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Mercedes Cabral'}) RETURN m.name""",{'Thy Womb'}
74,what movies have made [Colin Friels] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Colin Friels' RETURN m.name""","{'Class Action', 'Dingo', 'Darkman', 'Angel Baby'}"
75,What films have [Oscar Polk] an actor in,"```cypher
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = 'Oscar Polk'
RETURN m.name
```",{'The Green Pastures'}
76,What is [Richard White] action in,"Your query is not clear. Could you please specify what action by Richard White you are referring to? Are you asking about a movie he directed, wrote, or acted in? Please provide more details.",{'Beauty and the Beast'}
77,the films have made [Michael Rosenbaum] take action in the,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Michael Rosenbaum'}) RETURN m.name""","{'Poolhall Junkies', 'Back in the Day', ""Kickin' It Old Skool"", 'Urban Legend'}"
78,What makes [Deanna Russo] to do,"Your query is not clear. If you want to find movies where Deanna Russo acted in, the Cypher query would be:

```cypher
MATCH (a:Actor {name: ""Deanna Russo""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```

If you want to find movies where Deanna Russo directed, the Cypher query would be:

```cypher
MATCH (d:Director {name: ""Deanna Russo""})<-[:DIRECTED_BY]-(m:Movie)
RETURN m.name
```

If you want to find movies where Deanna Russo wrote, the Cypher query would be:

```cypher
MATCH (w:Writer {name: ""Deanna Russo""})<-[:WRITTEN_BY]-(m:Movie)
RETURN m.name
```",{'Ghost Voyage'}
79,What makes [Leslie Bibb] to do,"This query is ambiguous and does not provide enough context to be transformed into a Cypher query. It is unclear what action or role of Leslie Bibb (presumably an actor) the query is referring to - whether it is movies they have acted in, directed, written etc. Please provide more specific details.","{'The Midnight Meat Train', 'Hell Baby', 'A Good Old Fashioned Orgy', 'The Skulls'}"
80,What makes [Robert Foxworth] to do,"The provided natural language query ""What makes [Robert Foxworth] to do"" is ambiguous and doesn't clearly specify what information is needed regarding Robert Foxworth. Please provide a more specific query.

For example, if you want to know which movies Robert Foxworth has directed, acted in, or written, the queries would be as follows:

To find the movies directed by Robert Foxworth:
```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Robert Foxworth""}) RETURN m.name
```

To find the movies where Robert Foxworth has acted:
```
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Robert Foxworth""}) RETURN m.name
```

To find the movies written by Robert Foxworth:
```
MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Robert Foxworth""}) RETURN m.name
```","{'Prophecy', 'The Questor Tapes'}"
81,What the films [Laura San Giacomo] an actor in ,"""MATCH (a:Actor {name: 'Laura San Giacomo'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""","{'Stuart Saves His Family', 'Quigley Down Under', 'Once Around', 'Where the Day Takes You'}"
82,Ce qui fait [John Canada Terrell] star dans,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'John Canada Terrell'}) RETURN m.name""","{""She's Gotta Have It""}"
83,what is [Akira Kurosawa] appear in,"This query is ambiguous as it doesn't specify whether Akira Kurosawa is a director, writer or actor in the database. However, assuming Akira Kurosawa is a director, the cypher query to find the movies directed by Akira Kurosawa would be:

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Akira Kurosawa""})
RETURN m.name
```

If Akira Kurosawa is an actor, the query would be:

```cypher
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Akira Kurosawa""})
RETURN m.name
```

And if Akira Kurosawa is a writer, the query would be:

```cypher
MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Akira Kurosawa""})
RETURN m.name
```

However, without more specific information, it's impossible to write a definitive query.",{'A.K.'}
84,[Hoji Fortuna] appears on which movies,"```
MATCH (a:Actor {name: 'Hoji Fortuna'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```",{'Viva Riva!'}
85,which films have made [Fabrício Boliveira] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Fabrício Boliveira' RETURN m.name""",{'Brazilian Western'}
86,What makes [Amza Pellea] to do,"The query is not clear. Please provide more specific details such as what role Amza Pellea has (Director, Writer, Actor) and what specific information you need (movies worked on, genres, etc.).","{'Uncle Marin, the Billionaire'}"
87,ce qui fait [Milo Ventimiglia] star dans,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Milo Ventimiglia'}) RETURN m.name""",{'The Divide'}
88,This makes [Carl Reiner] star in,"The provided natural language query ""This makes [Carl Reiner] star in"" is not clear enough to be translated to a Cypher query. Could you please provide more details or clarify the query?","{""The Spirit of '76"", ""Dead Men Don't Wear Plaid""}"
89,What makes [Julie Delpy],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:""Julie Delpy""}) 
RETURN m.name as Movie_Directed_By_Julie_Delpy

UNION 

MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:""Julie Delpy""}) 
RETURN m.name as Movie_Written_By_Julie_Delpy

UNION 

MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Julie Delpy""}) 
RETURN m.name as Movie_Starred_Julie_Delpy","{'Before Midnight', 'Before Sunset', 'Killing Zoe', '2 Days in New York', 'An American Werewolf in Paris', 'The Air I Breathe', 'Before Sunrise', '2 Days in Paris', 'The Countess', 'The Passion of Ayn Rand', 'Broken Flowers', 'Voyager', 'Guilty Hearts'}"
90,what was [Shane Acker] the manager of,"The provided natural language query does not correspond to the given database schema. The entity ""Shane Acker"" could correspond to an Actor, Director, or Writer, but there is no ""manager"" relationship defined in the schema. Please provide a valid query.",{'9'}
91,[Joël Séria] to which the films,"""MATCH (d:Director {name: 'Joël Séria'})<-[:DIRECTED_BY]-(m:Movie) RETURN m.name""","{""Don't Deliver Us from Evil""}"
92,what was [David Miller] the manager of,"The database schema provided does not have a Manager entity or a relation that connects a person to what they manage. Therefore, there is no Cypher query that can retrieve what David Miller managed.","{'Back Street', 'The Opposite Sex', 'Billy the Kid', 'Executive Action', 'Love Happy', 'Captain Newman, M.D.', 'Sudden Fear', 'The Story of Esther Costello', 'Lonely Are the Brave', 'Midnight Lace'}"
93,what was [Rich Christiano] the manager of,"The natural language query provided does not match with the database schema provided. There is no entity or relation in the schema that would correspond to the concept of ""manager"". Therefore, it is not possible to convert this query into Cypher code. Please provide a query that matches with the given schema.","{'The Secrets of Jonathan Sperry', 'Time Changer'}"
94,[Scott Kalvert]  directed towards which the films,"""MATCH (d:Director {name: 'Scott Kalvert'})<-[:DIRECTED_BY]-(m:Movie) RETURN m.name""","{'The Basketball Diaries', 'Deuces Wild'}"
95,the films have [Sadao Yamanaka] live,"The natural language query seems to be unclear or incomplete. The query ""the films have [Sadao Yamanaka] live"" does not specify whether Sadao Yamanaka is a director, a writer, an actor, or has some other role in the movies. Also, the term ""live"" is not clear in the context of this database schema. Please provide a more specific query.",{'Humanity and Paper Balloons'}
96,[Matt McCormick] was the film director on which the films have been published ,"""MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Matt McCormick'}) RETURN m.name""",{'Some Days Are Better Than Others'}
97,what was [Ricou Browning] the Director of,"""MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Ricou Browning'}) RETURN m.name""",{'Hello Down There'}
98,[Robert J. Siegel] was the film director on which the films have been published ,"""MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Robert J. Siegel'}) RETURN m.name""",{'Swimming'}
99,what was [Matthew Crouch] the manager of,"The given natural language query doesn't match with the provided database schema. There is no entity or relation in the schema that refers to a ""manager"". Please provide a valid query.",{'The Cross'}
100,what has [Jonas Åkerlund] live,Your natural language query is not clear. Please provide more context or rephrase it.,"{'Horsemen', 'Spun', 'Small Apartments'}"
101,what has [Trevor Nunn] live,"It seems like the natural language query is not clear. The query ""what has [Trevor Nunn] live"" doesn't provide enough information about what we are trying to retrieve related to Trevor Nunn. If Trevor Nunn is a Director, Writer, or Actor, depending on what information we want to retrieve (like movies he has directed, written or starred in), the query could be formed. But with the given query, it's not possible to form a proper Cypher query. Please provide a more specific question.",{'Lady Jane'}
102,Which film did it [Christopher Kenneally] live,"The natural language query is not clear about the role of ""Christopher Kenneally"" in the movie. Assuming he is the director, the correct Cypher query would be:

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Christopher Kenneally'}) 
RETURN m.name
```

This query will return the name of the movie directed by ""Christopher Kenneally"". If he was an actor, writer or had some other role in the movie, the relationship between the Movie node and the person's node would have to be adjusted accordingly.",{'Side by Side'}
