,query,target_query,generated_query
57,[Eric Cantona] appears on which films,Looking for Eric,MATCH (a:Actor {name: 'Eric Cantona'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
58,What the movies have done [Mike White] star in,The Good Girl,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Mike White""}) RETURN m.name"
59,Which makes [Ayesha Takia] star in,Wanted,"MATCH (a:Actor {name: ""Ayesha Takia""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
60,What the films [Scott Grimes] an actor in ,Critters,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Scott Grimes'}) RETURN m.name
61,Who makes [Geraldine Smith] star in,Flesh,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Geraldine Smith""}) RETURN m.name"
62,which films have made [Patrick Malahide] star in,The 39 Steps|A Month in the Country,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Patrick Malahide'}) RETURN m.name
63,This makes [Joanna Newsom] star in,Inherent Vice,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Joanna Newsom""}) RETURN m.name"
64,films have made [Lemmy] act in,Lemmy,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Lemmy""}) RETURN m.name"
65,films have made [Carrie Henn] act in,Aliens,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name:""Carrie Henn""})
RETURN m.name"
66,What the movies [Julian Sands] appear in,The Killing Fields|The Medallion|Blood and Bone|Warlock|Boxing Helena|Gothic,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name: 'Julian Sands'}) RETURN m.name
67,Which movies did [Greg McLane] star in,Purely Belter,MATCH (a:Actor {name: 'Greg McLane'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
68,What the movies made [Maury Chaykin] star in,Owning Mahowny|Jerry and Tom,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Maury Chaykin""}) RETURN m.name"
69,What films have [Jade Yorker] an actor in,Bomb the System,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = 'Jade Yorker'
RETURN m.name"
70,what movies have made [Jon Seda] star in,I Like It Like That,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Jon Seda""})
RETURN m.name"
71,What the films do [Tom Hughes] appear in,Page Eight,"MATCH (a:Actor {name: ""Tom Hughes""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
72,What the films have [Jason Alexander] an actor in ,Pretty Woman|Shallow Hal|The Hunchback of Notre Dame|North|Dunston Checks In|White Palace,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name='Jason Alexander' RETURN m.name
73,What the movies did [Tyler Labine] act in,Someone Marry Barry|Cottage Country,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Tyler Labine'}) RETURN m.name
74,What films have [Mitchell Ryan] an actor in,Lethal Weapon,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = 'Mitchell Ryan'
RETURN m.name"
75,What the films have [Heather Sears] an actor in ,Room at the Top|The Story of Esther Costello,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Heather Sears'}) RETURN m.name
76,What the movies have made [Annabelle Gurwitch] star in,Melvin Goes to Dinner,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = ""Annabelle Gurwitch""
RETURN m.name"
77,[Ryan Alosio] appears on which films,Apostle Peter and the Last Supper|The Hi-Line,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:'Ryan Alosio'}) RETURN m.name
78,What the movies do [Baby Peggy] are appearing in,Captain January,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Baby Peggy'}) RETURN m.name
79,What makes [Mark Dacascos] to act in,Double Dragon|Only the Strong|DNA|American Samurai|Scorcher,"MATCH (a:Actor {name: 'Mark Dacascos'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
80,What the films have [Roger Perry] a actor in,The Thing with Two Heads,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Roger Perry""}) RETURN m.name"
81,Which makes [Olga Baclanova] star in,The Man Who Laughs|The Docks of New York,"MATCH (a:Actor {name: ""Olga Baclanova""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
82,What films make [Misa Shimizu] appear in,The Eel,"MATCH (a:Actor {name: ""Misa Shimizu""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
83,[Gustav Fröhlich] appears on which movies,Metropolis,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Gustav Fröhlich'}) RETURN m.name
84,What the movies do [Kelly Clarkson] appears in,From Justin to Kelly,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Kelly Clarkson' RETURN m.name
85,This is what makes [Philip Stone] star in,The Baby of Mâcon,"MATCH (a:Actor {name: 'Philip Stone'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
86,What the films have [Marianne Faithfull] an actor in ,Irina Palm|The Girl on a Motorcycle|Hamlet,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Marianne Faithfull""}) RETURN m.name"
87,The films have made [Plácido Domingo] act in,Carmen|Otello,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Plácido Domingo'})
RETURN m.name"
88,What the movies did have made [Marius Goring] star in,The Red Shoes|The Girl on a Motorcycle|The Spy in Black,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Marius Goring'}) RETURN m.name
89,films have made [Peggie Castle] act in,Beginning of the End,"MATCH (a:Actor {name: ""Peggie Castle""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
90,What the films did [Jutta Hoffmann] star in,Bandits,MATCH (a:Actor{name:'Jutta Hoffmann'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
91,What the movies did [Noah Bean] star in,The Pill,"MATCH (a:Actor {name: ""Noah Bean""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
92,what the movies do [Stephen Gevedon] appear in,Session 9,"MATCH (a:Actor {name: 'Stephen Gevedon'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
93,What films have made [Robert Culp] star in,PT 109|Hannie Caulder|The Castaway Cowboy|A Name for Evil|Outrage,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Robert Culp""}) RETURN m.name"
94,What makes [Anna Quayle],Smashing Time,MATCH (a:Actor {name: 'Anna Quayle'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
95,What the films did [Cher] take action in,Burlesque|The Witches of Eastwick|Moonstruck|Mermaids|Mask|Suspect|Faithful,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Cher'}) RETURN m.name
96,The films have [Will Ferrell] to act in,Step Brothers|Old School|The Other Guys|Megamind|Elf|Blades of Glory|The Campaign|Semi-Pro|Bewitched|Land of the Lost|A Night at the Roxbury|Everything Must Go|The Producers|Superstar|Curious George|Get Hard,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Will Ferrell""}) RETURN m.name"
97,Which movies made [Fernando Cayo] star in,The Orphanage,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Fernando Cayo""}) RETURN m.name"
98,[Liz Renay] appears on which films,Desperate Living,"MATCH (a:Actor {name: 'Liz Renay'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
99,What the movies have done [Beatriz Batarda] to act in,Alice,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Beatriz Batarda""}) RETURN m.name"
100,What the films did [Astrid Meyerfeldt] star in,Wolfsburg,"MATCH (a:Actor {name: 'Astrid Meyerfeldt'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
101,What the films did [Ken Foree] act in,Dawn of the Dead|From Beyond|The Dentist,MATCH (a:Actor {name: 'Ken Foree'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
102,What the movies did [Irene Purcell] act in,Just a Gigolo|The Man in Possession,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Irene Purcell'}) RETURN m.name
103,What the films [Dalton Trumbo] an actor in ,Trumbo,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name:""Dalton Trumbo""}) RETURN m.name"
104,What the films have [Rafael Alonso] an actor in,The Grandfather,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Rafael Alonso' RETURN m.name
105,What films have [Harry Hill] a actor in,The Harry Hill Movie,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Harry Hill'}) RETURN m.name
106,What makes [Richard Rober] to act,The Well,MATCH (a:Actor {name: 'Richard Rober'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
107,What the movies have made [Pamela Reed] star in,Kindergarten Cop|Caroline?,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Pamela Reed'}) RETURN m.name
108,what the films have done [Anika Noni Rose] to act in,The Princess and the Frog,"MATCH (a:Actor {name: ""Anika Noni Rose""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
109,What made [Tony Martin] star in,The Big Store|The Interview|Ali Baba Goes to Town,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Tony Martin'}) RETURN m.name
110,What the films did [John Call] take action in,Santa Claus Conquers the Martians,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'John Call'})
RETURN m.name"
111,What movies have made [Leigh McCormack] star in,The Long Day Closes,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Leigh McCormack'}) RETURN m.name
112,what makes [Alice Brady] appear in,The Gay Divorcee|Gold Diggers of 1935|In Old Chicago|When Ladies Meet,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Alice Brady'}) RETURN m.name
113,what causes [Patrick Breen] appear in,Stark Raving Mad|The Bleeding House|Just a Kiss,MATCH (a:Actor {name: 'Patrick Breen'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
114,What makes [Clancy Brown] to do,Highlander|The SpongeBob SquarePants Movie|Pathfinder|John Dies at the End|Shoot to Kill|Blue Steel|Sparks|The Trials of Cate McCall|Cast a Deadly Spell|Past Midnight,"MATCH (a:Actor {name: 'Clancy Brown'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
115,Which movies did [Debby Ryan] star in,Radio Rebel|What If...,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Debby Ryan'}) RETURN m.name
116,The films have made [Laurel Holloman] take action in the,The Incredibly True Adventure of Two Girls in Love,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Laurel Holloman""}) RETURN m.name"
117,What the movies have made [Frank Ramírez] star in,La estrategia del caracol,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Frank Ramírez'}) RETURN m.name
118,What the films do [Alison Routledge] appear in,The Quiet Earth,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Alison Routledge' RETURN m.name
119,What the films have made [Eddie Cantor] star in,Thank Your Lucky Stars|Ali Baba Goes to Town|Kid Millions,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Eddie Cantor'}) RETURN m.name
120,what the films have done [Dorothy Dell] to act in,Little Miss Marker,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name:""Dorothy Dell""}) RETURN m.name"
121,What makes [Peter Bull] appear in,The African Queen,"MATCH (a:Actor {name: ""Peter Bull""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
122,What films have made [Kathryn Grayson] star in,Anchors Aweigh|Show Boat|The Toast of New Orleans|Two Sisters from Boston,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Kathryn Grayson""}) RETURN m.name"
123,What makes [Larenz Tate] to act in the,The Postman|A Man Apart|Dead Presidents|Why Do Fools Fall in Love|Love Jones|The Inkwell,"MATCH (a:Actor {name: ""Larenz Tate""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
124,What makes [Candy Darling] star in,Flesh|Beautiful Darling,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Candy Darling""})
RETURN m.name"
125,What the movies made [Robbi Morgan] star in,Friday the 13th,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Robbi Morgan""}) RETURN m.name"
126,Which movies did [Tom Savini] star in,Creepshow 2|Children of the Living Dead,MATCH (a:Actor {name: 'Tom Savini'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
127,what causes [Bob Dermer] to appear in,The Care Bears Adventure in Wonderland,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name: 'Bob Dermer'}) RETURN m.name
128,What the movies have made [Anna Paquin] star in,Finding Forrester|The Piano|Buffalo Soldiers|Fly Away Home|Darkness|Margaret|A Walk on the Moon|Blue State|Free Ride,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Anna Paquin'}) RETURN m.name
129,Which movies made [Terry Kinney] star in,Body Snatchers,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Terry Kinney'}) RETURN m.name
130,what the films have done [Monte Hale] to act in,Out California Way,"MATCH (a:Actor {name: ""Monte Hale""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
131,Which movies have made [Aksel Hennie] star in,Headhunters,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Aksel Hennie""}) RETURN m.name"
132,This is what makes [Lorenzo Quinteros] star in,Man Facing Southeast,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Lorenzo Quinteros'}) RETURN m.name
133,what does [Jared Padalecki] appear in,Friday the 13th,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Jared Padalecki'}) RETURN m.name
134,The films have made [Jennifer Lopez] act in,Parker|The Cell|Out of Sight|Anaconda|Maid in Manhattan|The Wedding Planner|Jack|Monster-in-Law|The Back-up Plan|Money Train|Enough|An Unfinished Life|Angel Eyes|Selena|Home|The Boy Next Door|Bordertown|Blood and Wine,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Jennifer Lopez""}) RETURN m.name"
135,[Alicia Rodríguez] appears on which movies,Young and Wild,"MATCH (a:Actor {name: ""Alicia Rodríguez""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
136,What the movies have done [Frank Bonner] to act in,Equinox,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = ""Frank Bonner""
RETURN m.name"
137,What makes [Richard Boone] to act in,Hombre|Big Jake|The Tall T|The War Lord|I Bury the Living|The Arrangement|The Kremlin Letter|The Night of the Following Day|The Raid,"MATCH (a:Actor {name: ""Richard Boone""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
138,films have made [Tracy Pollan] act in,A Stranger Among Us,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Tracy Pollan""}) RETURN m.name"
139,The films have made [Carmen Duncan] take action in the,Harlequin,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Carmen Duncan'})
RETURN m.name"
140,What the films [Gabrielle Anwar] an actor in ,Scent of a Woman|Body Snatchers|For Love or Money|The Grave,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Gabrielle Anwar""}) RETURN m.name"
141,What the films made [Dominic Purcell] star in,Killer Elite|Assault on Wall Street|Primeval|Blood Creek|Ice Soldiers|Three Way,MATCH (a:Actor {name: 'Dominic Purcell'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
142,What films have made [Anton Yelchin] star in,Like Crazy|The Beaver|Odd Thomas|House of D|Fierce People,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Anton Yelchin'}) RETURN m.name
143,what the films have done [Jean Gabin] to act in,Port of Shadows|La Bête Humaine|Pépé le Moko|French Cancan|A Monkey in Winter|Les Misérables|Moontide|Stormy Waters|Lady Killer,"MATCH (a:Actor {name: ""Jean Gabin""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
144,The films have done [Lupe Ontiveros] to act in,Real Women Have Curves|Dark Mirror,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Lupe Ontiveros""}) RETURN m.name"
145,what the movies do [Michael Hardt] appear in,Examined Life,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Michael Hardt'}) RETURN m.name
146,What makes [Noah Hathaway] stars in,Sushi Girl,"MATCH (a:Actor {name: ""Noah Hathaway""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
