,query,target_query,generated_query
55,the films have [Odoardo Spadaro] to act in,The Golden Coach,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Odoardo Spadaro""}) RETURN m.name"
56,what the movies do [Ben Mendelsohn] appear in,Beautiful Kate|The Year My Voice Broke|Amy|Idiot Box|Mississippi Grind,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Ben Mendelsohn'}) RETURN m.name
57,which films have made [Pat Derby] star in,An Apology to Elephants,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Pat Derby'}) RETURN m.name
58,What films have made [Wesley Jonathan] star in,Crossover|Roll Bounce,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Wesley Jonathan'}) RETURN m.name
59,What the movies did [Paul Lynde] act in,The Villain,MATCH (a:Actor {name: 'Paul Lynde'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
60,what causes [JoBeth Williams] to appear in,The Day After|Dutch|Switch|Teachers|Just Write|Desert Bloom|Memories of Me,"MATCH (a:Actor {name: ""JoBeth Williams""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
61,What the films [William Zappa] an actor in ,Zone 39,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'William Zappa'}) RETURN m.name
62,What the movies do [Susan Cabot] appear in,The Wasp Woman,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:'Susan Cabot'}) RETURN m.name
63,What the films did [Eion Bailey] take action in ,And Starring Pancho Villa as Himself|(Untitled)|A Better Place,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Eion Bailey""}) RETURN m.name"
64,which films have made [Leonid Mozgovoy] star in,Moloch,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Leonid Mozgovoy""}) RETURN m.name"
65,What the films made [Taurean Blacque] star in,DeepStar Six,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Taurean Blacque""}) RETURN m.name"
66,What makes [Chips Rafferty] action,Wake in Fright|The Wackiest Ship in the Army,"MATCH (m:Movie)-[:HAS_GENRE]->(g:Genre {name: ""Action""}), (m)-[:STARRED_ACTORS]->(a:Actor {name: ""Chips Rafferty""}) RETURN m.name"
67,What the films do [Grace Kelly] appear in,Rear Window|Dial M for Murder|To Catch a Thief|High Society|Mogambo|The Bridges at Toko-Ri|The Country Girl|The Swan|Green Fire,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Grace Kelly""}) RETURN m.name"
68,What makes [Stanley Baker] to act,The Guns of Navarone|Zulu|Hell Drivers|Helen of Troy|Eva|Yesterday's Enemy,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Stanley Baker""}) RETURN m.name"
69,[Eric Cantona] appears on which films,Looking for Eric,MATCH (a:Actor {name: 'Eric Cantona'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
70,What the movies have done [Mike White] star in,The Good Girl,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Mike White""}) RETURN m.name"
71,Which makes [Ayesha Takia] star in,Wanted,"MATCH (a:Actor {name: ""Ayesha Takia""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
72,What makes [Susan George] action in,Straw Dogs|Enter the Ninja|Mandingo|Fright|Lola|A Small Town in Texas,"MATCH (a:Actor {name: 'Susan George'})-[:STARRED_ACTORS]-(m:Movie)-[:HAS_GENRE]-(g:Genre {name: 'Action'})
RETURN m.name"
73,What the films [Scott Grimes] an actor in ,Critters,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Scott Grimes'}) RETURN m.name
74,Who makes [Geraldine Smith] star in,Flesh,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Geraldine Smith""}) RETURN m.name"
75,which films have made [Patrick Malahide] star in,The 39 Steps|A Month in the Country,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Patrick Malahide'}) RETURN m.name
76,This makes [Joanna Newsom] star in,Inherent Vice,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Joanna Newsom""}) RETURN m.name"
77,films have made [Lemmy] act in,Lemmy,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Lemmy""}) RETURN m.name"
78,films have made [Carrie Henn] act in,Aliens,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name:""Carrie Henn""})
RETURN m.name"
79,What the movies [Julian Sands] appear in,The Killing Fields|The Medallion|Blood and Bone|Warlock|Boxing Helena|Gothic,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name: 'Julian Sands'}) RETURN m.name
80,Which movies did [Greg McLane] star in,Purely Belter,MATCH (a:Actor {name: 'Greg McLane'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
81,What the movies made [Maury Chaykin] star in,Owning Mahowny|Jerry and Tom,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Maury Chaykin""}) RETURN m.name"
82,What films have [Jade Yorker] an actor in,Bomb the System,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = 'Jade Yorker'
RETURN m.name"
83,What makes [Chevy Chase] appear in,Caddyshack|National Lampoon's Vacation|¡Three Amigos!|Fletch|Spies Like Us|Vegas Vacation|Memoirs of an Invisible Man|Funny Farm|Fletch Lives|Zoom|Foul Play|Man of the House|Seems Like Old Times|Modern Problems|Deal of the Century|Under the Rainbow|The Groove Tube,"MATCH (a:Actor {name: ""Chevy Chase""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
84,What the movies made [Margrét Vilhjálmsdóttir] star in,The Seagull's Laughter,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name:'Margrét Vilhjálmsdóttir'}) RETURN m.name
85,What makes [Andy Rodoreda],Black Water,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Andy Rodoreda""}) RETURN m.name"
86,what movies have made [Jon Seda] star in,I Like It Like That,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Jon Seda""})
RETURN m.name"
87,What the films do [Tom Hughes] appear in,Page Eight,"MATCH (a:Actor {name: ""Tom Hughes""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
88,What the films have [Jason Alexander] an actor in ,Pretty Woman|Shallow Hal|The Hunchback of Notre Dame|North|Dunston Checks In|White Palace,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name='Jason Alexander' RETURN m.name
89,What the movies did [Tyler Labine] act in,Someone Marry Barry|Cottage Country,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Tyler Labine'}) RETURN m.name
90,What films have [Mitchell Ryan] an actor in,Lethal Weapon,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = 'Mitchell Ryan'
RETURN m.name"
91,What makes [Haley Joel],Abominable,"The provided natural language query is ambiguous. It's unclear what information is needed about ""Haley Joel"". For example, are you asking about the movies they've acted in, directed, or written? Please provide more specific information."
92,What the films have made [Jackie Earle Haley] star in,Watchmen|Little Children|A Nightmare on Elm Street|Breaking Away|Losin' It|The Bad News Bears Go to Japan|The Bad News Bears in Breaking Training|Dollman,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:'Jackie Earle Haley'}) RETURN m.name
93,What the films have [Heather Sears] an actor in ,Room at the Top|The Story of Esther Costello,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Heather Sears'}) RETURN m.name
94,What the movies have made [Annabelle Gurwitch] star in,Melvin Goes to Dinner,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = ""Annabelle Gurwitch""
RETURN m.name"
95,[Ryan Alosio] appears on which films,Apostle Peter and the Last Supper|The Hi-Line,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:'Ryan Alosio'}) RETURN m.name
96,[Jack Palance] appears in which films,The Swan Princess|Panic in the Streets|Attack|Chato's Land|Sudden Fear|The Big Knife|Hawk the Slayer|Halls of Montezuma|Without Warning|Torture Garden|Bram Stoker's Dracula|God's Gun|Arrowhead|Ten Seconds to Hell|The Desperados,"MATCH (a:Actor {name: 'Jack Palance'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
97,What the movies do [Baby Peggy] are appearing in,Captain January,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Baby Peggy'}) RETURN m.name
98,What makes [Mark Dacascos] to act in,Double Dragon|Only the Strong|DNA|American Samurai|Scorcher,"MATCH (a:Actor {name: 'Mark Dacascos'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
99,What the films have [Roger Perry] a actor in,The Thing with Two Heads,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Roger Perry""}) RETURN m.name"
100,Which makes [Olga Baclanova] star in,The Man Who Laughs|The Docks of New York,"MATCH (a:Actor {name: ""Olga Baclanova""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
101,What films make [Misa Shimizu] appear in,The Eel,"MATCH (a:Actor {name: ""Misa Shimizu""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
102,[Gustav Fröhlich] appears on which movies,Metropolis,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Gustav Fröhlich'}) RETURN m.name
103,Who makes [William Marshall] star in,Blacula,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""William Marshall""}), (m)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
104,What the movies do [Kelly Clarkson] appears in,From Justin to Kelly,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Kelly Clarkson' RETURN m.name
105,This is what makes [Philip Stone] star in,The Baby of Mâcon,"MATCH (a:Actor {name: 'Philip Stone'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
106,What the films have [Marianne Faithfull] an actor in ,Irina Palm|The Girl on a Motorcycle|Hamlet,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Marianne Faithfull""}) RETURN m.name"
107,The films have made [Plácido Domingo] act in,Carmen|Otello,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Plácido Domingo'})
RETURN m.name"
108,What the movies did have made [Marius Goring] star in,The Red Shoes|The Girl on a Motorcycle|The Spy in Black,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Marius Goring'}) RETURN m.name
109,films have made [Peggie Castle] act in,Beginning of the End,"MATCH (a:Actor {name: ""Peggie Castle""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
110,What the films did [Jutta Hoffmann] star in,Bandits,MATCH (a:Actor{name:'Jutta Hoffmann'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
111,What the movies did [Noah Bean] star in,The Pill,"MATCH (a:Actor {name: ""Noah Bean""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
112,what the movies do [Stephen Gevedon] appear in,Session 9,"MATCH (a:Actor {name: 'Stephen Gevedon'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
113,What films have made [Robert Culp] star in,PT 109|Hannie Caulder|The Castaway Cowboy|A Name for Evil|Outrage,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Robert Culp""}) RETURN m.name"
114,What makes [Anna Quayle],Smashing Time,MATCH (a:Actor {name: 'Anna Quayle'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
115,What the films did [Cher] take action in,Burlesque|The Witches of Eastwick|Moonstruck|Mermaids|Mask|Suspect|Faithful,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Cher'}) RETURN m.name
116,The films have [Will Ferrell] to act in,Step Brothers|Old School|The Other Guys|Megamind|Elf|Blades of Glory|The Campaign|Semi-Pro|Bewitched|Land of the Lost|A Night at the Roxbury|Everything Must Go|The Producers|Superstar|Curious George|Get Hard,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Will Ferrell""}) RETURN m.name"
117,Which movies made [Fernando Cayo] star in,The Orphanage,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Fernando Cayo""}) RETURN m.name"
118,[Liz Renay] appears on which films,Desperate Living,"MATCH (a:Actor {name: 'Liz Renay'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
119,What the movies have done [Beatriz Batarda] to act in,Alice,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Beatriz Batarda""}) RETURN m.name"
120,[Sharni Vinson] appears in what films,You're Next,MATCH (a:Actor {name: 'Sharni Vinson'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
121,[Mehdi Nebbou] appears on which movies,English Vinglish,"""MATCH (a:Actor {name: 'Mehdi Nebbou'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"""
122,What films [Jason O'Mara] an actor in,One for the Money|Son of Batman,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Jason O\'Mara' RETURN m.name
123,What the films did [Astrid Meyerfeldt] star in,Wolfsburg,"MATCH (a:Actor {name: 'Astrid Meyerfeldt'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
124,What the films did [Ken Foree] act in,Dawn of the Dead|From Beyond|The Dentist,MATCH (a:Actor {name: 'Ken Foree'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
125,What the movies did [Irene Purcell] act in,Just a Gigolo|The Man in Possession,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Irene Purcell'}) RETURN m.name
126,What the films [Dalton Trumbo] an actor in ,Trumbo,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name:""Dalton Trumbo""}) RETURN m.name"
127,What the films have [Rafael Alonso] an actor in,The Grandfather,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Rafael Alonso' RETURN m.name
128,What the films have done [George Tiller] to do in,After Tiller,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name: ""George Tiller""})
RETURN m.name"
129,What films have [Harry Hill] a actor in,The Harry Hill Movie,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Harry Hill'}) RETURN m.name
130,The films have made [Duong Don] take action in the,Green Dragon,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Duong Don' RETURN m.name"""
131,[Stephen Frears] appears in which film,Great Directors,"The provided natural language query seems to be incorrect based on the provided database schema. Stephen Frears is likely to be a Director, not an Actor, and a Director doesn't ""appear"" in a film. They direct it.

However, if we interpret the query as asking for movies directed by Stephen Frears, the Cypher query would be:

```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)
WHERE d.name = ""Stephen Frears""
RETURN m.name
```"
132,What the films [Kay Kyser] an actor in,You'll Find Out,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Kay Kyser""}) RETURN m.name"
133,What makes [Richard Rober] to act,The Well,MATCH (a:Actor {name: 'Richard Rober'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
134,[Moe Howard] appears on which movies,The Three Stooges Meet Hercules|The Three Stooges in Orbit|Rockin' in the Rockies,"MATCH (a:Actor {name: ""Moe Howard""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
135,What the movies have made [Pamela Reed] star in,Kindergarten Cop|Caroline?,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Pamela Reed'}) RETURN m.name
136,what the films have done [Anika Noni Rose] to act in,The Princess and the Frog,"MATCH (a:Actor {name: ""Anika Noni Rose""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
137,What made [Tony Martin] star in,The Big Store|The Interview|Ali Baba Goes to Town,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Tony Martin'}) RETURN m.name
138,What the films did [John Call] take action in,Santa Claus Conquers the Martians,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'John Call'})
RETURN m.name"
139,What movies have made [Leigh McCormack] star in,The Long Day Closes,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Leigh McCormack'}) RETURN m.name
140,what makes [Alice Brady] appear in,The Gay Divorcee|Gold Diggers of 1935|In Old Chicago|When Ladies Meet,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Alice Brady'}) RETURN m.name
141,what causes [Patrick Breen] appear in,Stark Raving Mad|The Bleeding House|Just a Kiss,MATCH (a:Actor {name: 'Patrick Breen'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
